PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.61
2,6,10,18.99
3,11,15,18.85
4,16,20,18.73
5,21,25,18.15
6,26,30,18.68
7,31,35,18.79
8,36,40,19.35
9,41,45,19.34
10,46,50,18.75
11,51,55,18.45
12,56,60,18.85
13,61,65,18.43
14,66,70,19.33
15,71,75,19.66
16,76,80,19.31
17,81,85,19.12
18,86,90,18.75
19,91,95,18.98
20,96,100,19.70
21,101,105,20.33
22,106,110,20.45
23,111,115,20.88
24,116,120,20.58
25,121,125,20.46
26,126,130,19.71
27,131,135,20.25
28,136,140,21.24
29,141,145,21.33
30,146,150,21.31
31,151,155,20.75
32,156,160,21.07
33,161,165,21.80
34,166,170,22.41
35,171,175,23.10
36,176,180,21.22
37,181,185,21.17
38,186,190,21.19
39,191,195,21.36
40,196,200,20.66
41,201,205,20.70
42,206,210,21.37
43,211,215,20.63
44,216,220,19.97
45,221,225,19.63
46,226,230,20.09
47,231,235,20.38
48,236,240,20.53
49,241,245,21.22
50,246,250,19.77
51,251,255,19.55
52,256,260,19.42
53,261,265,19.43
54,266,270,19.45
55,271,275,20.25
56,276,280,20.67
57,281,285,19.97
58,286,290,19.59
59,291,295,19.69
60,296,300,20.40
61,301,305,21.37
62,306,310,22.10
63,311,315,19.94
64,316,320,19.88
65,321,325,19.67
66,326,330,19.76
67,331,335,19.88
68,336,340,20.24
69,341,345,20.59
70,346,350,20.03
71,351,355,19.55
72,356,360,19.90
,,OverallMean,20.08
,,PeriodStdDev,1.01
