Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,60,159,11,14,136,85,13,499,207,122,8,203,34,42,56,79,5,30
Cartagena,32,-,60,39,14,17,57,19,14,94,33,39,41,54,111,98,56,32,24,26
Colombo,60,53,-,137,14,18,65,44,18,87,99,93,49,198,82,98,30,101,19,41
Hamburg,87,40,168,-,22,29,225,58,23,123,70,29,81,8,250,257,99,24,40,77
Ho Chi Minh City,13,16,28,44,-,8,55,10,2,71,32,27,15,65,41,44,15,29,9,12
Jakarta,17,22,35,51,4,-,67,12,5,102,44,52,16,80,50,55,6,33,12,15
Jebel Ali,66,43,63,128,18,25,-,48,19,155,90,80,49,192,73,85,53,138,18,44
Kaohsiung,17,26,30,85,12,14,50,-,12,269,86,54,17,95,38,18,31,43,9,10
Laem Chabang,13,17,25,42,4,7,56,10,-,80,33,39,13,59,37,41,10,28,10,11
Los Angeles,278,136,105,112,32,40,160,141,32,-,436,97,218,169,428,283,111,69,100,143
New Jersey,95,47,142,69,18,21,108,71,16,447,-,57,93,77,250,233,72,21,38,76
Piraeus,69,49,112,18,17,19,135,45,15,89,74,-,61,37,176,164,69,20,25,53
Qingdao,29,34,38,92,8,12,70,9,9,435,124,85,-,111,8,10,34,59,15,0
Rotterdam,130,58,250,5,33,46,325,93,36,184,102,25,129,-,354,352,138,29,51,108
Shanghai,13,89,61,289,21,25,112,13,23,479,296,184,20,342,-,14,54,140,33,4
Shenzhen,38,75,54,296,19,23,136,9,22,299,296,195,20,390,52,-,38,119,10,8
Singapore,53,57,29,139,4,9,98,39,7,319,105,96,53,198,69,93,-,96,19,43
Tanger Med,66,32,132,14,22,31,164,39,22,74,21,11,60,15,171,165,91,-,28,51
Tianjin,24,27,31,84,6,9,66,16,7,215,92,58,2,124,10,8,33,42,-,0
Xiamen,28,34,41,138,9,10,91,8,10,161,149,91,12,170,37,12,36,60,1,-
