Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,23,23,4,6,39,123,5,103,34,21,31,31,79,36,27,12,14,24
Cartagena,4,-,12,22,2,3,12,3,2,9,64,19,6,33,19,16,10,23,3,4
Colombo,16,9,-,23,13,16,111,11,14,9,22,19,12,33,44,43,62,19,4,12
Hamburg,8,23,23,-,3,3,37,5,2,7,57,19,7,35,26,27,13,30,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,3,-,12,2,4,7,4,6,2,7,14,12,12,3,1,3
Jebel Ali,14,8,108,26,11,15,-,10,10,16,22,21,10,38,26,26,51,30,3,10
Kaohsiung,33,3,7,8,2,3,9,-,2,73,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,48,14,13,11,4,6,20,23,4,-,41,9,37,15,81,44,16,6,16,23
New Jersey,9,91,21,55,2,2,24,7,2,31,-,33,8,67,30,26,9,25,3,8
Piraeus,8,13,19,12,2,3,26,5,2,6,18,-,6,29,23,21,10,27,2,6
Qingdao,14,4,12,11,3,3,18,20,2,98,15,11,-,13,32,11,15,8,6,1
Rotterdam,11,35,35,21,4,5,53,9,4,12,87,19,12,-,42,38,18,48,4,11
Shanghai,48,12,30,34,9,11,37,35,9,119,47,27,41,41,-,26,43,18,28,13
Shenzhen,35,11,35,39,10,13,56,28,10,39,51,31,8,51,19,-,47,18,7,3
Singapore,17,9,59,21,8,17,92,12,8,37,21,17,16,30,60,60,-,16,5,16
Tanger Med,6,23,20,18,3,4,29,4,2,4,25,15,6,26,20,20,12,-,2,5
Tianjin,11,3,10,10,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,16,3,19,19,13,5,21,15,57,20,7,1,-
