Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,483","1,347",234,332,"2,574","6,949",256,"5,561","2,046","1,214","1,878","1,724","4,640","2,418","1,701",727,"1,104","1,343"
Cartagena,196,-,544,"1,038",111,141,533,117,97,430,"2,714",789,256,"1,488",863,729,483,"1,089",135,170
Colombo,"1,344",526,-,"1,812",618,794,"5,532",870,666,643,"1,600","1,621","1,046","2,682","3,562","3,505","2,995","1,505",317,"1,037"
Hamburg,660,905,"1,935",-,192,262,"2,925",445,198,567,"2,475","1,557",605,"2,856","2,272","2,232","1,010","2,556",276,601
Ho Chi Minh City,239,122,736,399,-,671,"1,124",169,540,552,338,322,259,616,"1,241","1,172","1,853",298,122,243
Jakarta,343,177,"1,054",510,446,-,"1,543",216,466,752,507,654,291,836,"1,619","1,552","1,465",378,184,307
Jebel Ali,"1,212",347,"5,238","1,982",538,740,-,808,526,"1,105","1,081","1,704",835,"3,061","2,147","2,192","2,472","2,480",253,860
Kaohsiung,"2,438",154,479,621,178,212,691,-,184,"3,572",707,454,890,697,"1,690",786,598,332,801,398
Laem Chabang,252,129,734,401,226,751,"1,200",168,-,623,353,457,245,571,"1,237","1,193","1,857",292,158,235
Los Angeles,"2,770",586,787,528,238,304,"1,106","1,224",231,-,"2,278",508,"2,150",832,"4,365","2,437",878,353,853,"1,219"
New Jersey,711,"3,517","1,598","2,533",165,189,"1,126",516,141,"2,074",-,"1,462",671,"3,035","2,327","2,040",738,"1,101",245,602
Piraeus,601,765,"1,593","1,006",179,209,"2,280",378,155,449,"1,490",-,518,"2,341","1,895","1,666",864,"2,153",206,484
Qingdao,"1,160",254,"1,019",805,203,305,"1,454","1,061",197,"5,096","1,233",895,-,993,"2,612",924,"1,186",557,449,45
Rotterdam,"1,012","1,401","2,946","1,705",305,430,"4,359",700,333,835,"3,896","1,564",957,-,"3,193","3,103","1,438","4,008",362,841
Shanghai,"2,837",714,"2,584","2,929",755,937,"3,242","1,897",756,"5,882","3,483","2,279","2,530","3,521",-,"2,258","3,564","1,548","1,697",980
Shenzhen,"3,220",633,"2,911","3,152",814,"1,080","4,618","2,145",856,"2,914","3,733","2,599",758,"4,241","1,816",-,"3,841","1,398",641,260
Singapore,"1,498",519,"2,902","1,652",904,"2,125","4,668",984,947,"2,708","1,495","1,447","1,357","2,434","4,899","4,912",-,"1,265",372,"1,378"
Tanger Med,528,945,"1,661","1,478",215,305,"2,462",310,221,350,"1,097","1,181",479,"2,070","1,686","1,536","1,031",-,209,424
Tianjin,905,186,786,725,138,205,"1,328",555,158,"1,988",903,612,968,"1,101","2,103",642,"1,069",398,-,43
Xiamen,"1,878",250,"1,307","1,289",232,287,"2,143","1,240",255,"1,575","1,580","1,016",441,"1,626","1,174","4,406","1,582",608,42,-
