PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.51
2,6,10,18.76
3,11,15,18.73
4,16,20,18.54
5,21,25,18.57
6,26,30,18.84
7,31,35,19.24
8,36,40,18.68
9,41,45,18.76
10,46,50,19.06
11,51,55,18.64
12,56,60,18.56
13,61,65,19.24
14,66,70,19.42
15,71,75,18.97
16,76,80,19.05
17,81,85,19.24
18,86,90,19.50
19,91,95,19.54
20,96,100,20.24
21,101,105,20.79
22,106,110,21.40
23,111,115,22.19
24,116,120,21.86
25,121,125,21.68
26,126,130,21.76
27,131,135,22.29
28,136,140,22.98
29,141,145,23.63
30,146,150,24.33
31,151,155,23.96
32,156,160,23.83
33,161,165,24.67
34,166,170,25.28
35,171,175,26.22
36,176,180,27.08
37,181,185,27.68
38,186,190,24.29
39,191,195,24.46
40,196,200,21.98
41,201,205,22.10
42,206,210,22.20
43,211,215,22.80
44,216,220,23.19
45,221,225,22.97
46,226,230,21.63
47,231,235,22.08
48,236,240,22.58
49,241,245,23.27
50,246,250,24.21
51,251,255,24.65
52,256,260,19.82
53,261,265,19.43
54,266,270,20.38
55,271,275,21.06
56,276,280,20.82
57,281,285,21.40
58,286,290,22.04
59,291,295,20.32
60,296,300,21.00
61,301,305,21.80
62,306,310,22.41
63,311,315,23.18
64,316,320,23.87
65,321,325,21.64
66,326,330,21.49
67,331,335,21.14
68,336,340,20.94
69,341,345,22.07
70,346,350,22.98
71,351,355,23.36
72,356,360,22.11
,,OverallMean,21.63
,,PeriodStdDev,2.20
