Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,7,38,38,6,9,68,203,8,165,58,35,49,52,130,40,46,20,13,40
Cartagena,5,-,13,24,2,3,12,3,2,10,68,20,6,35,20,17,11,24,3,4
Colombo,14,8,-,20,13,16,112,10,14,8,21,18,11,30,39,38,62,17,3,11
Hamburg,7,25,21,-,2,3,32,5,2,7,60,17,7,32,24,25,12,27,3,7
Ho Chi Minh City,2,1,6,4,-,5,9,1,4,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,5,4,-,12,2,4,7,4,5,3,7,14,13,12,3,1,2
Jebel Ali,13,8,108,22,11,15,-,9,10,14,22,19,9,34,23,25,51,27,3,9
Kaohsiung,33,3,6,8,2,3,9,-,2,119,9,6,12,9,23,11,8,5,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,78,21,21,17,6,9,33,38,8,-,66,16,60,24,130,69,26,10,26,36
New Jersey,10,97,21,58,2,3,26,7,2,33,-,35,9,71,31,28,10,26,3,8
Piraeus,7,12,18,10,2,2,25,4,2,6,17,-,6,26,20,19,9,24,2,5
Qingdao,14,4,12,11,3,3,18,35,2,163,16,11,-,12,32,11,15,8,5,1
Rotterdam,11,37,32,18,3,5,48,8,4,12,92,17,11,-,38,34,16,44,4,10
Shanghai,78,12,28,31,8,10,35,57,8,201,46,25,67,38,-,24,39,17,29,12
Shenzhen,34,11,32,35,9,11,49,27,9,38,48,29,8,48,19,-,44,16,7,3
Singapore,15,9,59,19,8,18,91,11,8,34,20,16,15,27,52,54,-,14,4,15
Tanger Med,6,25,18,17,2,3,27,3,2,4,26,13,5,22,18,17,12,-,2,5
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,15,16,3,3,25,15,3,19,18,13,5,20,15,55,19,7,1,-
