Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,379","1,383",218,297,"2,355","7,071",238,"5,504","2,016","1,199","1,873","1,761","4,626","2,307","1,543",736,"1,125","1,184"
Cartagena,184,-,545,"1,036",104,130,533,117,93,426,"2,713",797,248,"1,486",802,666,434,"1,089",135,165
Colombo,"1,334",522,-,"1,803",618,790,"5,526",879,664,646,"1,578","1,609","1,033","2,672","3,527","3,465","2,989","1,542",319,"1,050"
Hamburg,658,906,"1,912",-,190,261,"2,986",448,197,570,"2,294","1,606",590,"2,873","2,249","2,214","1,030","2,550",277,602
Ho Chi Minh City,241,116,737,400,-,661,"1,125",172,537,553,343,318,265,617,"1,241","1,172","1,858",305,126,253
Jakarta,336,173,"1,054",503,446,-,"1,538",216,465,753,499,656,288,819,"1,591","1,523","1,466",375,183,307
Jebel Ali,"1,192",347,"5,223","1,971",535,739,-,816,526,"1,110","1,039","1,698",833,"3,038","2,119","2,155","2,475","2,528",255,871
Kaohsiung,"2,474",148,448,637,161,207,642,-,168,"3,534",705,450,901,713,"1,711",784,534,336,811,398
Laem Chabang,259,128,734,402,226,736,"1,200",179,-,624,359,449,250,571,"1,240","1,200","1,863",295,161,243
Los Angeles,"2,785",576,738,523,219,273,"1,003","1,257",206,-,"2,238",499,"2,151",823,"4,433","2,185",803,348,860,"1,075"
New Jersey,710,"3,520","1,607","2,529",162,184,"1,126",542,138,"1,973",-,"1,482",668,"3,032","2,305","2,001",732,"1,101",252,599
Piraeus,590,750,"1,576","1,000",178,208,"2,305",380,154,451,"1,351",-,512,"2,327","1,871","1,644",877,"2,217",207,487
Qingdao,"1,162",243,"1,013",803,203,300,"1,399","1,085",195,"5,042","1,228",892,-,985,"2,660",913,"1,180",569,456,45
Rotterdam,"1,000","1,403","2,887","1,687",300,425,"4,391",710,332,842,"3,667","1,594",952,-,"3,144","3,076","1,461","4,007",362,850
Shanghai,"2,845",700,"2,623","2,917",760,920,"3,175","1,927",761,"5,800","3,438","2,252","2,522","3,495",-,"2,230","3,613","1,593","1,706",976
Shenzhen,"3,243",624,"2,938","3,138",824,"1,066","4,536","2,133",863,"2,903","3,680","2,581",767,"4,221","1,856",-,"3,900","1,417",647,260
Singapore,"1,489",513,"2,898","1,643",904,"2,080","4,662",993,949,"2,717","1,481","1,440","1,338","2,416","4,857","4,843",-,"1,284",374,"1,391"
Tanger Med,524,948,"1,650","1,467",210,303,"2,493",312,217,354,"1,016","1,217",474,"2,052","1,668","1,521","1,046",-,210,427
Tianjin,907,184,778,718,138,201,"1,298",560,157,"1,987",900,610,990,"1,099","2,133",632,"1,065",405,-,42
Xiamen,"1,896",248,"1,299","1,256",231,278,"2,082","1,224",253,"1,559","1,543","1,009",444,"1,586","1,199","4,368","1,573",606,42,-
