PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.74
2,6,10,18.92
3,11,15,18.67
4,16,20,18.73
5,21,25,18.54
6,26,30,18.57
7,31,35,18.87
8,36,40,19.28
9,41,45,18.73
10,46,50,19.11
11,51,55,18.64
12,56,60,18.84
13,61,65,19.10
14,66,70,19.16
15,71,75,19.03
16,76,80,19.46
17,81,85,19.31
18,86,90,19.01
19,91,95,18.94
20,96,100,19.64
21,101,105,20.18
22,106,110,20.86
23,111,115,20.61
24,116,120,21.09
25,121,125,21.10
26,126,130,21.18
27,131,135,20.33
28,136,140,21.06
29,141,145,21.26
30,146,150,21.43
31,151,155,21.07
32,156,160,21.07
33,161,165,21.81
34,166,170,22.73
35,171,175,23.34
36,176,180,22.29
37,181,185,21.85
38,186,190,21.29
39,191,195,21.84
40,196,200,21.45
41,201,205,21.67
42,206,210,21.85
43,211,215,21.28
44,216,220,20.49
45,221,225,19.97
46,226,230,20.25
47,231,235,20.31
48,236,240,20.90
49,241,245,21.77
50,246,250,20.36
51,251,255,19.63
52,256,260,19.47
53,261,265,18.95
54,266,270,19.70
55,271,275,20.15
56,276,280,20.60
57,281,285,19.80
58,286,290,20.00
59,291,295,20.30
60,296,300,20.39
61,301,305,21.20
62,306,310,22.12
63,311,315,19.86
64,316,320,20.48
65,321,325,19.85
66,326,330,19.89
67,331,335,20.38
68,336,340,20.80
69,341,345,21.57
70,346,350,21.70
71,351,355,20.32
72,356,360,20.99
,,OverallMean,20.34
,,PeriodStdDev,1.14
