Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,59,155,11,14,129,85,12,492,209,117,8,197,34,40,53,76,5,30
Cartagena,33,-,62,39,14,18,56,21,14,97,33,38,42,54,114,101,58,32,24,26
Colombo,64,53,-,137,14,17,66,43,17,90,100,93,52,197,82,97,30,101,20,43
Hamburg,89,40,168,-,22,29,226,59,22,128,69,28,83,7,249,256,99,23,40,78
Ho Chi Minh City,14,16,29,43,-,8,57,10,2,75,33,28,16,65,40,42,15,29,9,12
Jakarta,18,22,35,51,4,-,68,12,5,101,46,53,17,81,47,53,6,34,12,14
Jebel Ali,70,43,64,128,18,24,-,48,19,162,94,80,51,191,73,85,53,137,18,45
Kaohsiung,16,27,30,85,12,14,51,-,13,265,88,55,21,95,44,19,32,43,9,12
Laem Chabang,15,17,26,41,4,7,58,9,-,88,33,38,15,58,36,42,10,28,11,12
Los Angeles,277,135,104,111,32,40,159,141,33,-,441,96,217,168,428,282,110,68,99,145
New Jersey,97,47,144,69,17,21,106,74,16,443,-,55,94,77,253,235,72,21,38,77
Piraeus,71,50,111,18,17,19,135,45,14,89,74,-,63,37,176,163,69,19,26,53
Qingdao,31,35,36,91,8,11,67,9,8,428,131,83,-,110,8,10,32,58,19,0
Rotterdam,134,58,249,4,33,46,325,95,37,191,102,25,133,-,354,352,138,29,52,109
Shanghai,14,89,61,287,21,25,112,12,24,470,297,184,20,341,-,14,54,140,33,4
Shenzhen,40,76,54,295,19,23,137,9,23,311,296,195,22,389,55,-,38,119,10,9
Singapore,59,59,29,139,4,9,98,40,7,343,105,96,57,198,69,92,-,96,19,45
Tanger Med,68,32,132,13,22,31,164,39,22,76,22,11,62,15,171,164,91,-,29,52
Tianjin,27,27,29,83,6,8,64,17,7,218,97,57,2,122,11,8,31,41,-,0
Xiamen,31,35,38,135,8,9,87,8,9,169,153,89,14,166,39,12,33,59,1,-
