Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,26,4,6,48,139,5,120,40,24,35,36,90,37,31,15,13,28
Cartagena,5,-,12,23,2,3,12,3,2,9,65,19,6,33,19,17,11,23,3,4
Colombo,14,9,-,21,12,16,111,10,14,8,25,17,11,30,40,39,63,17,3,11
Hamburg,7,24,21,-,2,3,31,5,2,7,57,17,6,31,23,24,11,27,3,6
Ho Chi Minh City,2,1,6,3,-,5,9,2,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,13,12,3,2,3
Jebel Ali,12,8,108,23,11,15,-,9,10,14,22,20,9,33,23,23,51,27,3,9
Kaohsiung,32,3,6,8,2,3,9,-,2,80,9,6,12,9,23,11,8,5,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,55,15,15,12,4,6,22,26,5,-,46,10,41,16,88,47,18,7,18,26
New Jersey,10,93,24,56,3,3,24,8,2,35,-,33,10,68,35,31,11,25,4,9
Piraeus,7,12,17,11,2,2,24,4,2,5,16,-,5,26,20,18,9,24,2,5
Qingdao,14,4,12,10,2,3,17,23,2,110,16,11,-,12,31,11,15,8,5,0
Rotterdam,10,35,31,18,3,5,47,8,4,11,88,17,11,-,36,32,15,43,4,9
Shanghai,56,13,27,32,8,10,36,40,8,134,53,24,48,38,-,24,39,17,32,12
Shenzhen,34,12,31,34,9,11,49,27,10,38,57,28,8,47,19,-,44,16,7,3
Singapore,16,9,60,19,8,17,92,12,8,35,24,16,14,26,56,54,-,15,4,15
Tanger Med,6,23,18,17,2,3,25,3,2,4,25,13,5,23,18,16,11,-,2,5
Tianjin,10,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,18,12,5,19,14,55,20,7,1,-
