Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,257,"1,491","1,374",237,333,"2,335","6,892",259,"5,473","2,003","1,193","1,876","1,749","4,515","2,383","1,710",732,"1,125","1,331"
Cartagena,196,-,546,"1,039",108,142,533,117,97,430,"2,720",801,255,"1,488",844,709,483,"1,090",135,164
Colombo,"1,343",520,-,"1,804",618,794,"5,550",858,666,647,"1,612","1,553","1,046","2,662","3,556","3,492","3,000","1,489",313,"1,043"
Hamburg,660,908,"1,925",-,192,264,"2,988",438,198,567,"2,475","1,604",605,"2,838","2,272","2,232","1,010","2,546",270,601
Ho Chi Minh City,239,116,736,400,-,671,"1,124",167,539,553,346,313,260,616,"1,211","1,142","1,817",298,121,244
Jakarta,343,171,"1,054",507,445,-,"1,543",208,466,752,507,634,291,828,"1,619","1,553","1,465",367,180,307
Jebel Ali,"1,213",332,"5,238","1,965",539,740,-,782,527,"1,107","1,081","1,655",835,"3,040","2,150","2,187","2,479","2,464",247,863
Kaohsiung,"2,424",145,489,633,183,218,641,-,187,"3,523",704,448,901,711,"1,640",782,594,336,810,387
Laem Chabang,252,128,734,401,226,751,"1,200",167,-,624,363,443,245,571,"1,214","1,172","1,812",292,153,235
Los Angeles,"2,794",574,798,523,240,305,"1,004","1,218",231,-,"2,239",499,"2,165",823,"4,421","2,424",889,348,848,"1,212"
New Jersey,723,"3,522","1,607","2,533",165,193,"1,129",517,140,"2,018",-,"1,487",678,"3,037","2,326","2,039",761,"1,101",245,570
Piraeus,600,772,"1,581","1,001",179,214,"2,304",367,155,449,"1,482",-,518,"2,332","1,889","1,666",863,"2,134",199,484
Qingdao,"1,160",243,"1,009",823,203,304,"1,395","1,054",194,"5,026","1,224",872,-,"1,009","2,657",913,"1,179",574,446,45
Rotterdam,"1,012","1,411","2,930","1,685",305,438,"4,391",672,333,835,"3,889","1,592",957,-,"3,193","3,103","1,438","4,006",351,842
Shanghai,"2,837",693,"2,597","2,896",756,942,"3,179","1,879",762,"5,780","3,518","2,208","2,527","3,478",-,"2,253","3,586","1,533","1,681",975
Shenzhen,"3,191",619,"2,924","3,130",825,"1,084","4,542","2,132",864,"2,844","3,767","2,514",767,"4,203","1,782",-,"3,880","1,384",647,256
Singapore,"1,498",506,"2,910","1,639",904,"2,125","4,669",962,947,"2,715","1,502","1,393","1,358","2,417","4,892","4,895",-,"1,254",359,"1,386"
Tanger Med,528,952,"1,653","1,468",215,308,"2,485",307,221,350,"1,093","1,221",479,"2,057","1,686","1,534","1,030",-,203,424
Tianjin,907,180,778,740,138,203,"1,298",548,155,"1,986",900,585,989,"1,121","2,133",632,"1,062",402,-,42
Xiamen,"1,863",243,"1,293","1,285",231,286,"2,077","1,222",253,"1,526","1,573",984,444,"1,624","1,160","4,362","1,572",606,42,-
