PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.51
2,6,10,18.76
3,11,15,18.73
4,16,20,18.54
5,21,25,18.57
6,26,30,18.84
7,31,35,19.24
8,36,40,18.68
9,41,45,18.76
10,46,50,19.05
11,51,55,18.62
12,56,60,18.57
13,61,65,19.24
14,66,70,19.43
15,71,75,18.97
16,76,80,18.86
17,81,85,19.26
18,86,90,19.44
19,91,95,19.55
20,96,100,20.22
21,101,105,20.65
22,106,110,21.33
23,111,115,21.94
24,116,120,21.91
25,121,125,21.41
26,126,130,21.65
27,131,135,22.18
28,136,140,23.00
29,141,145,23.48
30,146,150,23.09
31,151,155,22.76
32,156,160,23.37
33,161,165,24.37
34,166,170,25.09
35,171,175,25.82
36,176,180,23.92
37,181,185,24.14
38,186,190,23.70
39,191,195,24.32
40,196,200,21.95
41,201,205,21.55
42,206,210,22.24
43,211,215,22.20
44,216,220,20.93
45,221,225,20.28
46,226,230,20.69
47,231,235,21.34
48,236,240,22.16
49,241,245,22.67
50,246,250,19.53
51,251,255,19.55
52,256,260,19.71
53,261,265,19.14
54,266,270,19.56
55,271,275,20.47
56,276,280,20.69
57,281,285,19.97
58,286,290,20.04
59,291,295,20.61
60,296,300,20.70
61,301,305,21.36
62,306,310,22.36
63,311,315,20.54
64,316,320,19.28
65,321,325,19.67
66,326,330,20.02
67,331,335,20.09
68,336,340,20.37
69,341,345,21.14
70,346,350,21.91
71,351,355,20.67
72,356,360,20.35
,,OverallMean,20.86
,,PeriodStdDev,1.81
