Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,58,155,10,15,128,86,12,526,202,117,9,195,36,37,53,76,5,31
Cartagena,32,-,61,39,13,18,56,20,13,96,33,39,42,55,112,98,56,32,24,26
Colombo,69,54,-,137,14,17,65,47,17,99,99,93,56,198,82,97,30,101,22,42
Hamburg,92,39,169,-,22,29,225,60,23,133,70,28,85,7,250,257,99,23,41,77
Ho Chi Minh City,15,16,29,42,-,8,56,11,2,85,32,27,17,64,40,43,15,28,10,12
Jakarta,19,22,35,51,4,-,68,12,5,109,45,53,18,82,47,53,6,33,13,14
Jebel Ali,75,41,64,129,18,25,-,50,19,175,88,80,54,192,73,85,53,138,19,44
Kaohsiung,16,27,31,87,13,15,52,-,13,282,88,56,16,97,33,17,34,45,9,9
Laem Chabang,15,17,25,40,4,7,56,10,-,98,32,37,16,57,37,41,10,27,12,12
Los Angeles,281,133,105,112,32,41,160,140,32,-,431,97,221,168,433,285,112,69,101,145
New Jersey,98,48,144,69,17,21,107,74,16,465,-,57,95,78,252,234,72,21,39,78
Piraeus,72,49,111,18,17,19,135,46,15,95,75,-,65,37,176,164,69,19,26,53
Qingdao,32,33,38,92,8,12,69,9,8,459,123,85,-,111,8,8,34,59,11,0
Rotterdam,136,58,250,4,33,46,325,97,37,198,102,25,136,-,355,352,138,29,53,108
Shanghai,15,89,61,288,21,26,112,12,24,503,296,185,21,341,-,14,54,140,35,4
Shenzhen,41,76,54,295,19,24,136,9,22,342,296,196,16,389,41,-,38,119,11,6
Singapore,62,58,28,139,4,9,97,43,7,366,104,97,61,199,69,92,-,96,23,44
Tanger Med,70,32,131,13,22,31,164,40,22,81,21,11,64,15,171,165,91,-,29,51
Tianjin,26,26,30,84,6,9,65,18,7,222,92,58,2,124,11,7,33,42,-,0
Xiamen,29,33,41,137,8,10,90,8,10,186,145,91,10,169,30,12,36,60,1,-
