Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,30,30,5,7,55,163,6,129,46,28,39,41,103,36,36,16,13,31
Cartagena,5,-,13,23,2,3,12,3,2,9,67,20,6,35,20,17,11,24,3,4
Colombo,14,8,-,20,12,16,111,11,14,8,21,18,11,30,39,38,63,17,3,12
Hamburg,7,25,20,-,2,3,31,5,2,7,59,17,6,32,24,24,11,27,3,6
Ho Chi Minh City,2,1,6,4,-,5,9,1,4,5,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,13,12,3,1,3
Jebel Ali,12,8,108,23,11,15,-,9,10,14,22,20,9,33,23,23,52,27,2,9
Kaohsiung,33,3,6,8,2,3,9,-,2,92,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,59,17,16,13,5,7,25,29,5,-,50,12,45,17,97,51,20,8,20,28
New Jersey,9,96,20,58,2,2,26,7,2,29,-,34,8,70,28,26,9,26,3,8
Piraeus,7,12,17,11,2,2,24,4,2,6,16,-,6,26,20,18,9,25,2,5
Qingdao,14,4,12,11,3,3,18,28,2,128,15,11,-,12,32,11,15,8,5,0
Rotterdam,10,36,31,18,3,5,47,8,3,11,90,16,11,-,35,33,16,42,4,9
Shanghai,61,11,28,32,8,10,36,44,8,158,45,24,54,38,-,24,39,17,24,12
Shenzhen,33,11,31,35,9,11,50,27,9,38,48,29,8,47,19,-,44,16,7,3
Singapore,16,9,59,18,8,17,92,11,8,35,19,16,14,27,53,52,-,15,4,15
Tanger Med,6,24,17,16,2,3,26,3,2,4,25,13,5,22,18,17,11,-,2,5
Tianjin,11,3,10,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,15,3,19,19,12,5,20,14,55,19,7,1,-
