Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,498","1,380",217,336,"2,343","6,902",236,"5,488","2,007","1,195","1,837","1,753","4,515","2,402","1,725",733,"1,130","1,328"
Cartagena,196,-,546,"1,040",108,139,534,117,97,430,"2,724",801,245,"1,490",849,715,474,"1,090",135,164
Colombo,"1,349",522,-,"1,802",618,790,"5,516",860,663,645,"1,596","1,560",999,"2,668","3,561","3,499","2,987","1,497",313,"1,044"
Hamburg,663,908,"1,922",-,193,263,"2,945",438,198,569,"2,476","1,600",565,"2,870","2,276","2,241","1,020","2,543",270,602
Ho Chi Minh City,238,123,736,400,-,670,"1,124",168,535,552,346,312,249,616,"1,240","1,172","1,853",298,125,253
Jakarta,343,172,"1,052",503,445,-,"1,537",208,465,751,507,645,276,819,"1,618","1,552","1,463",368,179,307
Jebel Ali,"1,216",345,"5,217","1,968",534,738,-,784,526,"1,110","1,077","1,659",806,"3,036","2,150","2,193","2,465","2,462",248,867
Kaohsiung,"2,478",154,490,640,162,218,642,-,168,"3,532",705,450,884,716,"1,669",784,596,336,813,398
Laem Chabang,258,129,734,400,226,750,"1,200",174,-,623,362,443,246,570,"1,236","1,191","1,857",292,156,243
Los Angeles,"2,814",582,801,523,219,305,"1,003","1,225",206,-,"2,236",498,"2,106",823,"4,477","2,437",900,348,854,"1,223"
New Jersey,715,"3,530","1,599","2,534",162,186,"1,129",519,138,"2,051",-,"1,492",644,"3,042","2,318","2,017",733,"1,102",245,571
Piraeus,603,767,"1,583",998,182,209,"2,284",368,155,449,"1,479",-,504,"2,324","1,901","1,669",866,"2,135",199,487
Qingdao,"1,164",245,"1,016",804,201,304,"1,401","1,057",190,"5,036","1,229",877,-,987,"2,607",919,"1,182",556,456,45
Rotterdam,"1,013","1,410","2,932","1,681",307,431,"4,374",674,336,837,"3,897","1,594",910,-,"3,206","3,120","1,441","4,000",351,849
Shanghai,"2,849",709,"2,620","2,914",741,946,"3,181","1,886",738,"5,783","3,473","2,214","2,476","3,494",-,"2,262","3,604","1,542","1,704",977
Shenzhen,"3,256",628,"2,933","3,134",801,"1,086","4,544","2,135",830,"2,848","3,719","2,524",760,"4,217","1,777",-,"3,897","1,392",651,260
Singapore,"1,499",517,"2,895","1,643",903,"2,117","4,655",964,947,"2,713","1,492","1,398","1,306","2,416","4,900","4,911",-,"1,257",359,"1,391"
Tanger Med,528,953,"1,653","1,463",216,306,"2,473",307,221,351,"1,097","1,214",457,"2,050","1,688","1,539","1,033",-,203,427
Tianjin,909,184,779,720,136,204,"1,299",549,154,"1,987",901,589,992,"1,101","2,087",635,"1,067",398,-,42
Xiamen,"1,905",249,"1,300","1,258",229,286,"2,086","1,228",249,"1,530","1,580",988,442,"1,586","1,167","4,380","1,574",595,42,-
