PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.74
2,6,10,18.92
3,11,15,18.67
4,16,20,18.73
5,21,25,18.54
6,26,30,18.57
7,31,35,18.87
8,36,40,19.28
9,41,45,18.73
10,46,50,19.11
11,51,55,18.63
12,56,60,18.81
13,61,65,19.22
14,66,70,19.21
15,71,75,19.09
16,76,80,19.25
17,81,85,19.37
18,86,90,19.16
19,91,95,19.03
20,96,100,19.61
21,101,105,20.28
22,106,110,20.89
23,111,115,20.58
24,116,120,21.26
25,121,125,20.99
26,126,130,21.13
27,131,135,20.21
28,136,140,20.88
29,141,145,21.55
30,146,150,21.51
31,151,155,20.43
32,156,160,20.89
33,161,165,21.85
34,166,170,22.52
35,171,175,22.83
36,176,180,21.51
37,181,185,21.41
38,186,190,21.06
39,191,195,21.95
40,196,200,22.01
41,201,205,21.48
42,206,210,20.10
43,211,215,20.98
44,216,220,19.70
45,221,225,19.64
46,226,230,19.44
47,231,235,20.02
48,236,240,20.77
49,241,245,21.04
50,246,250,19.84
51,251,255,18.58
52,256,260,19.29
53,261,265,19.28
54,266,270,19.66
55,271,275,19.75
56,276,280,20.78
57,281,285,19.53
58,286,290,19.58
59,291,295,19.90
60,296,300,20.40
61,301,305,21.19
62,306,310,22.11
63,311,315,20.39
64,316,320,20.24
65,321,325,19.29
66,326,330,19.31
67,331,335,20.19
68,336,340,20.37
69,341,345,21.37
70,346,350,19.82
71,351,355,19.97
72,356,360,20.37
,,OverallMean,20.13
,,PeriodStdDev,1.08
