Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,59,156,11,14,129,85,12,493,210,118,8,199,34,44,56,77,5,30
Cartagena,33,-,63,40,14,19,56,21,14,98,33,39,42,55,116,103,59,32,25,26
Colombo,60,51,-,137,14,17,66,41,17,89,99,93,50,198,83,98,30,101,20,43
Hamburg,87,40,168,-,22,29,225,58,23,126,69,28,81,7,250,257,99,23,40,78
Ho Chi Minh City,13,16,28,43,-,8,54,9,2,73,32,28,15,65,39,41,15,29,9,12
Jakarta,17,22,35,50,4,-,69,11,5,99,47,52,16,80,46,52,6,33,12,14
Jebel Ali,65,42,64,128,18,24,-,46,19,159,95,80,49,191,74,85,53,138,18,45
Kaohsiung,16,26,29,84,12,13,49,-,12,264,87,54,19,94,40,18,33,43,9,10
Laem Chabang,13,17,25,41,4,7,56,9,-,85,33,38,13,59,35,40,10,28,11,12
Los Angeles,278,135,101,110,31,39,156,140,32,-,442,95,218,165,429,273,107,68,101,142
New Jersey,96,47,144,70,18,21,106,74,16,442,-,56,93,78,253,235,72,21,38,77
Piraeus,69,49,112,18,17,19,135,44,15,88,74,-,61,37,177,164,69,20,26,54
Qingdao,32,34,36,90,8,11,67,9,8,428,130,83,-,109,8,9,32,58,19,0
Rotterdam,130,58,249,4,33,46,325,92,37,186,101,25,129,-,355,352,138,28,52,109
Shanghai,14,86,61,288,21,24,112,12,24,469,294,184,20,340,-,14,54,140,36,4
Shenzhen,40,73,54,295,19,22,135,9,22,310,293,195,20,390,53,-,38,119,10,8
Singapore,53,56,28,139,4,9,98,37,7,335,104,96,53,198,69,92,-,96,20,45
Tanger Med,66,32,132,13,22,31,164,38,22,75,21,11,60,15,172,165,91,-,29,52
Tianjin,27,27,29,83,6,8,63,17,7,215,97,57,2,122,11,8,30,42,-,0
Xiamen,31,33,38,134,8,9,86,8,9,168,152,89,12,166,35,12,33,59,1,-
