Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,24,4,6,44,132,5,111,37,22,33,33,84,39,29,14,13,26
Cartagena,5,-,13,23,2,3,12,3,2,9,66,19,6,34,20,17,11,24,3,4
Colombo,13,10,-,20,13,16,111,10,14,8,28,17,11,29,37,37,62,17,3,11
Hamburg,7,25,20,-,2,3,31,5,2,7,58,17,6,30,24,24,11,26,3,6
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,12,8,107,22,11,16,-,9,10,14,22,18,9,33,23,23,52,27,3,9
Kaohsiung,32,3,6,8,2,3,9,-,2,76,9,6,11,9,23,11,8,4,11,5
Laem Chabang,2,1,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,48,14,13,10,4,6,20,23,4,-,41,8,37,15,80,44,16,6,16,23
New Jersey,11,94,25,58,3,3,25,8,2,37,-,34,10,70,37,32,12,26,4,10
Piraeus,7,12,17,11,2,2,23,4,2,5,16,-,6,25,19,18,9,24,2,5
Qingdao,14,4,12,10,3,3,17,22,2,102,15,11,-,12,31,11,15,8,5,0
Rotterdam,10,36,30,18,3,5,47,8,3,12,89,16,11,-,36,31,15,42,4,9
Shanghai,53,14,27,31,8,10,35,37,8,127,57,24,43,37,-,25,38,17,31,12
Shenzhen,34,13,31,35,9,11,50,27,9,38,63,28,8,47,18,-,44,16,7,3
Singapore,15,10,59,18,8,17,93,11,8,34,26,16,14,26,52,51,-,14,4,15
Tanger Med,6,24,18,16,2,3,25,3,2,4,25,13,5,22,17,17,11,-,2,4
Tianjin,10,3,11,9,1,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,20,18,12,5,19,14,55,20,7,1,-
