Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,265,"1,379","1,383",218,297,"2,355","6,902",238,"5,504","2,016","1,199","1,876","1,761","4,515","2,389","1,725",736,"1,125","1,332"
Cartagena,201,-,546,"1,040",111,142,534,117,97,429,"2,720",801,245,"1,489",864,732,483,"1,090",135,164
Colombo,"1,339",529,-,"1,808",618,794,"5,552",860,667,649,"1,580","1,632","1,043","2,671","3,606","3,482","3,002","1,497",314,"1,027"
Hamburg,659,908,"1,939",-,192,274,"2,942",439,197,569,"2,476","1,604",596,"2,838","2,281","2,224","1,030","2,546",273,588
Ho Chi Minh City,238,121,736,399,-,671,"1,124",167,538,551,338,322,258,616,"1,231","1,141","1,816",298,120,240
Jakarta,343,177,"1,052",510,445,-,"1,541",207,466,769,497,664,291,836,"1,649","1,553","1,465",378,180,299
Jebel Ali,"1,203",347,"5,244","1,970",539,740,-,792,527,"1,111","1,048","1,721",834,"3,043","2,174","2,177","2,482","2,470",250,854
Kaohsiung,"2,425",158,447,633,161,207,641,-,168,"3,534",704,448,901,711,"1,643",784,594,336,811,393
Laem Chabang,252,129,734,401,226,751,"1,198",167,-,623,353,456,245,571,"1,227","1,168","1,811",291,153,228
Los Angeles,"2,817",590,787,526,238,302,"1,106","1,219",231,-,"2,252",505,"2,151",825,"4,425","2,424",891,350,848,"1,212"
New Jersey,724,"3,525","1,585","2,533",165,192,"1,126",516,141,"2,042",-,"1,492",643,"3,040","2,349","2,041",750,"1,102",245,569
Piraeus,594,766,"1,594","1,002",178,215,"2,281",370,154,450,"1,482",-,514,"2,332","1,907","1,655",876,"2,136",200,476
Qingdao,"1,162",257,989,823,200,300,"1,395","1,057",190,"5,042","1,224",908,-,"1,009","2,657",913,"1,195",574,446,45
Rotterdam,"1,002","1,411","2,952","1,685",301,446,"4,369",676,333,837,"3,891","1,592",954,-,"3,223","3,089","1,460","4,006",352,820
Shanghai,"2,852",724,"2,549","2,907",744,927,"3,202","1,882",745,"5,796","3,441","2,284","2,527","3,492",-,"2,246","3,632","1,534","1,685",976
Shenzhen,"3,195",641,"2,876","3,133",806,"1,073","4,562","2,133",842,"2,901","3,685","2,610",767,"4,224","1,755",-,"3,931","1,387",647,257
Singapore,"1,491",529,"2,910","1,646",902,"2,125","4,670",970,947,"2,724","1,481","1,459","1,355","2,421","4,947","4,866",-,"1,257",361,"1,358"
Tanger Med,527,952,"1,663","1,468",212,315,"2,464",307,219,351,"1,093","1,221",476,"2,057","1,696","1,523","1,047",-,205,417
Tianjin,907,189,752,740,136,201,"1,296",549,151,"1,986",900,622,990,"1,121","2,133",635,"1,083",403,-,42
Xiamen,"1,863",256,"1,273","1,285",228,278,"2,077","1,224",248,"1,559","1,573","1,036",444,"1,624","1,137","4,369","1,608",606,42,-
