Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,688,209,896,0.02
Cartagena,276,0,276,0.01
Colombo,468,24,492,0.00
Hamburg,307,0,307,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,427,0,427,0.00
Kaohsiung,239,98,337,0.11
Laem Chabang,94,0,94,0.02
Los Angeles,428,0,428,0.00
New Jersey,502,156,657,0.01
Piraeus,209,0,209,0.00
Qingdao,298,64,362,0.01
Rotterdam,424,0,424,0.00
Shanghai,635,"1,311","1,946",0.00
Shenzhen,490,128,618,0.00
Singapore,492,492,984,0.01
Tanger Med,219,85,304,0.01
Tianjin,182,0,182,0.01
Xiamen,281,0,281,0.02
TOTAL,"6,861","2,566","9,428",0.34
