Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,57,154,11,14,126,92,12,529,202,116,9,195,38,41,54,75,5,34
Cartagena,33,-,62,39,14,18,56,21,13,99,33,38,44,55,112,99,57,32,25,26
Colombo,77,55,-,137,14,18,65,52,17,104,101,93,63,197,82,97,30,101,24,42
Hamburg,98,40,168,-,22,29,225,63,22,139,70,29,88,8,249,256,99,23,43,77
Ho Chi Minh City,16,17,29,43,-,8,56,12,2,90,33,27,19,64,39,41,15,28,11,12
Jakarta,21,22,35,51,4,-,68,14,5,117,45,52,20,80,49,54,6,33,15,14
Jebel Ali,82,44,64,128,18,25,-,54,19,188,92,79,59,191,73,85,54,138,21,44
Kaohsiung,16,27,32,88,13,15,55,-,13,278,88,58,17,98,35,17,36,45,9,9
Laem Chabang,16,17,25,41,4,7,56,11,-,102,33,37,17,58,35,40,10,28,13,11
Los Angeles,281,138,104,110,32,40,158,140,32,-,444,94,221,165,432,285,111,68,101,144
New Jersey,101,46,143,69,18,21,105,81,16,486,-,55,98,78,251,232,72,21,40,77
Piraeus,77,50,111,18,17,19,135,48,15,101,77,-,69,38,176,163,69,20,28,53
Qingdao,38,34,39,92,9,12,70,10,9,459,123,85,-,111,8,9,34,60,11,0
Rotterdam,143,58,249,4,33,46,324,100,37,208,103,25,143,-,353,351,138,29,56,108
Shanghai,16,90,61,288,21,25,111,13,24,501,298,183,22,341,-,13,53,140,37,4
Shenzhen,41,77,54,295,19,23,136,9,22,358,299,194,18,389,47,-,38,118,10,6
Singapore,74,58,28,139,4,9,97,49,7,383,106,96,70,198,68,91,-,96,26,44
Tanger Med,73,32,131,14,22,31,163,42,22,86,22,11,67,15,171,164,91,-,31,51
Tianjin,32,27,31,84,6,9,66,24,7,238,92,58,2,124,11,7,33,42,-,0
Xiamen,29,34,42,138,9,10,92,8,10,194,147,92,11,171,33,12,37,61,1,-
