PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.61
2,6,10,18.99
3,11,15,18.85
4,16,20,18.73
5,21,25,18.15
6,26,30,18.68
7,31,35,18.79
8,36,40,19.35
9,41,45,19.34
10,46,50,18.75
11,51,55,18.45
12,56,60,18.85
13,61,65,18.43
14,66,70,19.33
15,71,75,19.66
16,76,80,19.31
17,81,85,19.12
18,86,90,18.75
19,91,95,18.98
20,96,100,19.70
21,101,105,20.32
22,106,110,20.44
23,111,115,20.85
24,116,120,20.60
25,121,125,20.49
26,126,130,20.38
27,131,135,20.34
28,136,140,21.13
29,141,145,21.18
30,146,150,21.50
31,151,155,20.38
32,156,160,20.62
33,161,165,21.45
34,166,170,22.16
35,171,175,22.81
36,176,180,23.29
37,181,185,21.39
38,186,190,21.31
39,191,195,21.40
40,196,200,21.77
41,201,205,21.01
42,206,210,21.61
43,211,215,21.19
44,216,220,20.20
45,221,225,20.31
46,226,230,20.45
47,231,235,20.98
48,236,240,21.49
49,241,245,21.93
50,246,250,19.76
51,251,255,20.44
52,256,260,19.77
53,261,265,19.80
54,266,270,19.78
55,271,275,20.21
56,276,280,20.74
57,281,285,20.24
58,286,290,20.14
59,291,295,20.58
60,296,300,21.02
61,301,305,21.72
62,306,310,22.32
63,311,315,20.08
64,316,320,19.91
65,321,325,21.01
66,326,330,21.16
67,331,335,20.28
68,336,340,19.98
69,341,345,20.33
70,346,350,20.80
71,351,355,20.37
72,356,360,20.56
,,OverallMean,20.32
,,PeriodStdDev,1.10
