Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,61,159,11,15,134,86,13,501,212,121,9,202,35,43,57,79,5,30
Cartagena,33,-,62,39,14,18,58,20,14,97,33,42,42,54,113,99,57,32,25,26
Colombo,62,53,-,138,14,18,65,45,17,89,100,93,51,199,82,97,30,102,19,41
Hamburg,89,40,169,-,22,29,225,60,22,123,69,29,82,8,249,256,99,23,40,77
Ho Chi Minh City,13,16,29,44,-,8,56,10,2,72,31,28,15,65,40,43,15,29,9,12
Jakarta,19,22,35,51,4,-,68,13,5,105,45,52,17,81,51,58,6,33,13,15
Jebel Ali,67,44,63,129,18,25,-,50,19,159,91,80,50,192,73,84,53,139,18,44
Kaohsiung,16,27,32,87,13,15,54,-,13,269,90,56,24,97,48,19,34,45,9,12
Laem Chabang,14,17,26,42,4,7,57,10,-,82,32,38,13,59,36,41,10,28,10,11
Los Angeles,278,134,104,110,32,40,158,141,32,-,432,95,219,166,429,280,109,68,99,143
New Jersey,97,47,143,69,18,21,111,74,16,457,-,61,94,77,250,232,72,21,38,76
Piraeus,70,47,112,18,17,19,136,45,14,88,71,-,62,37,176,163,69,20,25,53
Qingdao,31,34,38,92,8,13,69,9,9,436,124,86,-,112,8,10,34,59,17,0
Rotterdam,131,58,250,5,32,46,326,97,36,185,102,25,131,-,353,351,138,29,51,107
Shanghai,14,90,61,289,21,26,112,13,23,479,296,185,21,342,-,14,54,141,33,4
Shenzhen,38,76,54,297,19,24,136,9,22,310,296,196,24,392,59,-,38,119,10,9
Singapore,56,58,29,140,4,9,98,41,7,325,105,97,55,199,68,91,-,96,19,43
Tanger Med,67,32,132,14,22,31,164,40,22,75,21,11,61,15,171,164,91,-,28,51
Tianjin,26,26,31,84,6,9,67,18,7,222,93,58,2,124,11,8,33,42,-,0
Xiamen,27,34,40,138,8,11,90,8,10,167,149,91,14,170,41,12,36,60,1,-
