Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,27,27,5,7,48,146,5,122,41,25,36,36,94,38,32,15,13,29
Cartagena,4,-,13,23,2,3,12,3,2,9,66,20,6,35,19,17,11,24,3,4
Colombo,16,8,-,23,13,16,111,11,14,9,22,19,12,33,42,42,61,19,3,12
Hamburg,8,24,22,-,3,3,35,5,2,7,58,19,7,34,25,27,13,29,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,6,3,3,2,6,10,10,16,3,1,2
Jakarta,3,2,9,5,3,-,12,2,4,7,4,5,3,7,13,13,12,3,2,2
Jebel Ali,14,8,108,25,11,15,-,10,10,15,22,21,9,36,24,27,52,29,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,84,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,56,15,15,12,5,7,23,26,5,-,46,10,43,17,93,49,19,7,18,26
New Jersey,9,95,21,57,2,2,25,7,2,31,-,34,8,69,30,27,10,26,3,8
Piraeus,7,13,19,12,2,3,26,5,2,6,18,-,6,28,22,19,10,26,2,6
Qingdao,14,4,12,11,2,3,18,24,2,117,16,11,-,12,32,11,15,8,5,0
Rotterdam,11,35,34,20,4,5,51,9,4,11,89,19,12,-,40,36,17,46,4,10
Shanghai,56,12,30,34,9,11,36,41,9,138,47,26,49,42,-,27,42,19,32,12
Shenzhen,35,11,35,39,10,12,56,27,10,38,49,31,8,50,19,-,46,17,7,3
Singapore,17,8,59,20,8,18,92,12,8,37,20,17,16,28,58,59,-,15,5,16
Tanger Med,6,24,19,17,3,4,28,4,2,4,25,14,6,25,19,19,12,-,2,5
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,26,16,3,19,19,13,5,20,15,56,20,7,1,-
