Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,392","1,395",218,302,"2,372","6,865",238,"5,552","2,041","1,210","1,822","1,778","4,489","2,401","1,713",743,"1,127","1,329"
Cartagena,184,-,543,"1,036",108,138,532,117,97,429,"2,705",796,242,"1,484",847,711,482,"1,089",134,164
Colombo,"1,293",526,-,"1,808",618,794,"5,546",861,666,649,"1,602","1,624",997,"2,682","3,544","3,485","2,995","1,500",314,"1,024"
Hamburg,639,903,"1,868",-,192,261,"2,931",439,197,569,"2,474","1,606",571,"2,852","2,263","2,224","1,000","2,556",273,591
Ho Chi Minh City,229,123,737,401,-,662,"1,126",167,540,553,339,322,247,618,"1,242","1,173","1,858",299,121,240
Jakarta,326,173,"1,054",510,446,-,"1,547",211,466,754,509,658,279,836,"1,592","1,523","1,468",378,180,302
Jebel Ali,"1,163",347,"5,238","1,980",538,740,-,790,526,"1,111","1,081","1,711",811,"3,055","2,131","2,178","2,472","2,480",250,854
Kaohsiung,"2,427",154,436,639,156,200,626,-,165,"3,567",705,450,871,713,"1,642",782,594,336,812,393
Laem Chabang,245,131,735,403,227,740,"1,201",167,-,625,355,458,241,575,"1,241","1,201","1,863",292,155,230
Los Angeles,"2,690",588,749,527,219,275,"1,011","1,210",209,-,"2,262",506,"2,086",828,"4,420","2,414",886,352,845,"1,202"
New Jersey,689,"3,509","1,593","2,529",162,185,"1,125",520,138,"2,049",-,"1,482",645,"3,031","2,312","2,016",757,"1,101",245,572
Piraeus,573,765,"1,527","1,006",178,209,"2,280",370,154,451,"1,489",-,505,"2,340","1,882","1,654",854,"2,152",202,477
Qingdao,"1,127",252,989,803,201,300,"1,401","1,052",190,"5,081","1,228",911,-,987,"2,660",915,"1,196",556,446,45
Rotterdam,977,"1,400","2,819","1,703",301,426,"4,366",677,333,840,"3,884","1,596",915,-,"3,153","3,089","1,424","4,008",352,823
Shanghai,"2,729",712,"2,542","2,929",740,926,"3,192","1,876",742,"5,872","3,486","2,279","2,460","3,515",-,"2,245","3,621","1,545","1,678",978
Shenzhen,"3,198",632,"2,870","3,151",803,"1,072","4,556","2,137",839,"2,905","3,737","2,602",744,"4,237","1,758",-,"3,911","1,398",648,256
Singapore,"1,462",519,"2,902","1,650",904,"2,090","4,669",969,950,"2,724","1,495","1,453","1,315","2,426","4,872","4,874",-,"1,263",361,"1,358"
Tanger Med,506,942,"1,612","1,477",213,304,"2,463",308,219,352,"1,092","1,214",463,"2,069","1,674","1,525","1,022",-,206,417
Tianjin,884,186,752,720,136,201,"1,299",551,152,"1,988",901,622,990,"1,099","2,135",635,"1,083",395,-,43
Xiamen,"1,864",248,"1,277","1,287",229,278,"2,082","1,232",249,"1,563","1,575","1,038",431,"1,625","1,160","4,370","1,612",606,42,-
