Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,753,245,998,0.02
Cartagena,276,0,276,0.01
Colombo,486,17,503,0.00
Hamburg,331,0,331,0.00
Ho Chi Minh City,93,0,93,0.05
Jakarta,111,0,111,0.06
Jebel Ali,449,0,449,0.00
Kaohsiung,250,93,343,0.13
Laem Chabang,94,0,94,0.02
Los Angeles,493,0,493,0.00
New Jersey,466,164,630,0.01
Piraeus,232,0,232,0.00
Qingdao,319,70,389,0.01
Rotterdam,459,0,459,0.00
Shanghai,670,"1,428","2,098",0.00
Shenzhen,503,141,644,0.00
Singapore,513,520,"1,033",0.01
Tanger Med,238,94,332,0.01
Tianjin,183,0,183,0.01
Xiamen,284,0,284,0.02
TOTAL,"7,203","2,772","9,975",0.36
