PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.57
2,6,10,18.74
3,11,15,18.77
4,16,20,18.69
5,21,25,18.61
6,26,30,18.82
7,31,35,18.71
8,36,40,18.63
9,41,45,19.10
10,46,50,19.14
11,51,55,18.56
12,56,60,19.18
13,61,65,18.91
14,66,70,19.27
15,71,75,19.01
16,76,80,19.32
17,81,85,19.37
18,86,90,19.15
19,91,95,19.07
20,96,100,19.39
21,101,105,20.15
22,106,110,20.26
23,111,115,20.45
24,116,120,20.56
25,121,125,20.81
26,126,130,19.67
27,131,135,19.77
28,136,140,20.60
29,141,145,20.50
30,146,150,20.51
31,151,155,20.14
32,156,160,20.21
33,161,165,20.80
34,166,170,21.66
35,171,175,22.14
36,176,180,22.40
37,181,185,21.01
38,186,190,20.31
39,191,195,20.04
40,196,200,20.84
41,201,205,20.31
42,206,210,20.15
43,211,215,21.29
44,216,220,20.12
45,221,225,19.02
46,226,230,19.09
47,231,235,19.81
48,236,240,20.68
49,241,245,21.01
50,246,250,19.27
51,251,255,19.28
52,256,260,19.61
53,261,265,19.49
54,266,270,19.54
55,271,275,20.15
56,276,280,20.32
57,281,285,19.46
58,286,290,19.63
59,291,295,19.42
60,296,300,20.31
61,301,305,21.31
62,306,310,21.75
63,311,315,20.31
64,316,320,19.93
65,321,325,19.31
66,326,330,19.85
67,331,335,19.76
68,336,340,19.42
69,341,345,20.66
70,346,350,19.83
71,351,355,19.03
72,356,360,19.81
,,OverallMean,19.87
,,PeriodStdDev,0.88
