PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.68
2,6,10,18.78
3,11,15,18.80
4,16,20,18.91
5,21,25,18.64
6,26,30,18.39
7,31,35,19.00
8,36,40,19.56
9,41,45,19.41
10,46,50,18.43
11,51,55,18.67
12,56,60,18.85
13,61,65,18.60
14,66,70,19.28
15,71,75,19.49
16,76,80,19.28
17,81,85,18.83
18,86,90,19.38
19,91,95,18.91
20,96,100,19.44
21,101,105,20.31
22,106,110,20.80
23,111,115,21.37
24,116,120,20.75
25,121,125,20.88
26,126,130,20.32
27,131,135,20.59
28,136,140,20.49
29,141,145,21.08
30,146,150,21.69
31,151,155,21.10
32,156,160,20.85
33,161,165,21.17
34,166,170,22.03
35,171,175,22.57
36,176,180,23.27
37,181,185,21.34
38,186,190,22.29
39,191,195,21.71
40,196,200,21.55
41,201,205,21.42
42,206,210,21.75
43,211,215,20.23
44,216,220,19.99
45,221,225,19.22
46,226,230,19.54
47,231,235,19.84
48,236,240,19.80
49,241,245,20.85
50,246,250,19.89
51,251,255,19.52
52,256,260,19.01
53,261,265,20.04
54,266,270,19.46
55,271,275,19.28
56,276,280,20.26
57,281,285,19.75
58,286,290,19.67
59,291,295,19.53
60,296,300,20.08
61,301,305,20.88
62,306,310,21.49
63,311,315,19.90
64,316,320,20.59
65,321,325,19.90
66,326,330,19.32
67,331,335,20.12
68,336,340,20.62
69,341,345,20.99
70,346,350,19.79
71,351,355,20.33
72,356,360,19.95
,,OverallMean,20.12
,,PeriodStdDev,1.08
