Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,63,162,12,15,139,81,13,493,215,123,8,207,33,40,61,80,5,27
Cartagena,31,-,63,40,14,18,57,20,14,96,33,39,40,55,115,101,58,33,24,26
Colombo,60,52,-,137,14,16,65,40,17,92,99,92,49,197,84,99,30,101,20,42
Hamburg,86,39,167,-,22,30,223,57,22,125,69,28,81,8,248,257,99,24,39,77
Ho Chi Minh City,13,16,29,43,-,8,55,9,2,80,33,28,15,65,42,44,15,29,9,13
Jakarta,18,22,34,51,4,-,68,11,5,103,46,53,16,81,50,56,6,33,13,15
Jebel Ali,66,43,64,128,18,24,-,46,19,164,94,79,49,190,74,86,53,137,18,43
Kaohsiung,16,26,29,84,12,14,51,-,13,267,87,54,13,95,31,18,32,43,9,9
Laem Chabang,13,17,26,41,4,7,58,9,-,94,34,38,14,59,38,43,10,27,11,11
Los Angeles,280,134,104,112,32,41,159,141,33,-,443,96,220,167,433,281,111,69,102,139
New Jersey,93,47,143,70,18,21,108,71,16,430,-,56,90,78,252,233,72,21,37,76
Piraeus,67,49,111,18,17,19,133,43,14,88,74,-,61,38,175,163,69,20,26,52
Qingdao,29,34,38,93,9,12,70,9,9,435,129,85,-,112,8,8,35,59,19,0
Rotterdam,129,57,248,5,33,46,320,91,37,189,101,25,128,-,353,351,137,29,51,107
Shanghai,13,87,61,288,22,25,113,11,24,475,294,183,20,341,-,14,54,140,36,4
Shenzhen,38,74,54,296,19,24,137,7,23,302,294,194,15,389,38,-,38,118,10,6
Singapore,53,58,29,139,4,9,98,36,7,339,105,96,52,198,70,93,-,96,20,43
Tanger Med,65,32,130,14,22,31,161,37,22,75,21,11,60,15,170,163,90,-,28,51
Tianjin,24,27,32,85,6,9,67,15,7,201,96,58,2,124,11,7,33,42,-,0
Xiamen,27,34,41,138,9,10,92,7,10,163,151,91,9,170,29,12,37,60,1,-
