Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,23,22,4,5,41,122,4,97,33,19,30,29,77,29,27,12,12,24
Cartagena,4,-,11,21,2,2,10,2,2,8,59,17,5,30,18,16,10,21,3,3
Colombo,17,11,-,23,13,16,108,11,14,9,28,21,12,35,42,43,62,20,4,13
Hamburg,8,21,23,-,3,3,37,5,3,8,52,20,7,35,27,28,13,31,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,3,-,13,2,4,7,4,6,2,7,14,13,12,3,1,3
Jebel Ali,14,8,110,27,11,15,-,10,10,15,22,22,10,40,26,26,52,31,3,10
Kaohsiung,30,3,6,8,2,3,8,-,2,69,9,6,11,9,21,10,8,4,10,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,45,11,12,9,3,5,19,21,4,-,37,8,35,13,74,40,14,6,14,20
New Jersey,11,88,26,50,3,3,23,9,2,36,-,30,10,62,36,33,11,23,4,10
Piraeus,8,13,19,12,2,3,27,5,2,6,18,-,6,29,24,21,11,27,2,6
Qingdao,13,4,11,9,2,3,16,20,2,93,14,10,-,11,29,10,13,7,5,0
Rotterdam,13,34,37,21,4,5,54,9,4,13,81,19,12,-,42,40,18,49,5,11
Shanghai,47,14,32,37,9,11,40,34,9,111,58,28,40,42,-,27,42,18,28,11
Shenzhen,35,13,37,42,10,14,59,27,10,38,62,33,8,55,19,-,49,19,7,3
Singapore,19,9,58,21,8,17,92,12,8,37,25,18,15,30,59,61,-,16,4,16
Tanger Med,7,22,21,18,3,4,31,4,3,5,22,16,6,26,20,19,13,-,3,6
Tianjin,10,3,9,8,1,2,15,6,2,24,10,7,11,12,23,7,11,4,-,0
Xiamen,21,4,14,14,3,3,23,15,3,19,16,11,5,17,13,48,17,7,1,-
