Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,382","1,402",223,308,"2,420","7,030",243,"5,622","2,072","1,231","1,862","1,808","4,606","2,401","1,712",752,"1,126","1,323"
Cartagena,184,-,551,"1,049",104,143,537,117,94,431,"2,746",791,248,"1,501",805,669,484,"1,099",135,165
Colombo,"1,319",524,-,"1,871",618,794,"5,541",884,667,670,"1,620","1,600","1,022","2,729","3,560","3,502","3,000","1,538",317,"1,040"
Hamburg,650,923,"1,912",-,193,270,"2,912",437,198,589,"2,474","1,561",582,"2,929","2,274","2,234","1,024","2,509",276,600
Ho Chi Minh City,232,122,736,418,-,671,"1,124",171,540,561,346,319,255,629,"1,242","1,175","1,817",305,122,244
Jakarta,334,177,"1,054",517,446,-,"1,543",218,466,776,505,654,288,838,"1,619","1,553","1,466",374,184,307
Jebel Ali,"1,183",347,"5,242","2,021",535,739,-,816,525,"1,130","1,082","1,696",829,"3,118","2,149","2,190","2,473","2,524",254,866
Kaohsiung,"2,427",154,446,634,160,203,639,-,166,"3,630",714,464,901,730,"1,711",784,595,341,812,398
Laem Chabang,249,129,734,417,226,751,"1,200",172,-,632,363,449,244,588,"1,239","1,193","1,812",294,158,236
Los Angeles,"2,771",586,779,551,238,304,"1,107","1,252",231,-,"2,297",511,"2,150",837,"4,365","2,480",924,356,865,"1,202"
New Jersey,682,"3,541","1,592","2,547",151,193,"1,134",514,135,"2,066",-,"1,461",642,"3,056","2,211","1,910",753,"1,111",244,567
Piraeus,581,762,"1,579","1,034",179,209,"2,265",377,155,458,"1,460",-,508,"2,380","1,895","1,666",870,"2,206",206,483
Qingdao,"1,165",252,"1,006",848,203,304,"1,441","1,079",195,"5,185","1,256",893,-,"1,010","2,660",915,"1,197",569,456,45
Rotterdam,990,"1,417","2,922","1,768",305,435,"4,311",703,334,862,"3,882","1,554",939,-,"3,193","3,106","1,455","3,901",361,841
Shanghai,"2,817",714,"2,531","2,991",756,936,"3,242","1,908",756,"5,969","3,552","2,244","2,508","3,598",-,"2,265","3,651","1,586","1,716",978
Shenzhen,"3,200",636,"2,861","3,239",814,"1,080","4,622","2,137",858,"2,974","3,798","2,572",769,"4,328","1,860",-,"3,954","1,413",648,260
Singapore,"1,477",524,"2,911","1,699",907,"2,125","4,658",986,948,"2,804","1,509","1,435","1,333","2,457","4,888","4,904",-,"1,282",372,"1,387"
Tanger Med,513,955,"1,649","1,519",215,308,"2,430",307,221,364,"1,090","1,189",467,"2,094","1,689","1,538","1,037",-,209,423
Tianjin,908,186,765,752,138,204,"1,316",562,157,"2,025",919,610,992,"1,115","2,137",635,"1,083",405,-,42
Xiamen,"1,870",248,"1,273","1,319",231,286,"2,134","1,234",253,"1,599","1,603","1,009",445,"1,618","1,200","4,372","1,611",606,42,-
