Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,63,161,12,16,138,82,13,486,215,123,8,205,34,39,58,80,5,30
Cartagena,32,-,62,39,14,18,56,20,14,94,33,38,42,54,113,100,58,32,24,26
Colombo,59,52,-,138,14,18,66,40,17,81,99,93,49,199,82,97,30,101,19,44
Hamburg,86,40,168,-,22,29,225,58,23,120,69,29,81,7,249,256,99,23,39,78
Ho Chi Minh City,13,16,28,44,-,8,54,9,2,69,32,28,14,66,38,40,15,29,8,12
Jakarta,16,22,36,50,4,-,69,11,5,97,46,52,16,80,48,53,6,33,12,15
Jebel Ali,64,44,63,129,18,25,-,46,19,149,92,80,48,191,73,84,54,138,18,45
Kaohsiung,16,26,29,85,12,14,50,-,12,268,86,54,16,94,35,17,31,43,9,10
Laem Chabang,13,17,25,42,4,7,56,9,-,77,33,39,13,59,35,39,10,28,10,11
Los Angeles,278,134,104,112,32,40,159,140,32,-,436,97,219,168,429,280,110,69,101,144
New Jersey,95,47,144,68,18,21,105,72,16,456,-,55,91,77,251,233,72,21,37,78
Piraeus,68,47,111,18,17,19,134,44,14,84,74,-,61,37,176,162,69,20,25,54
Qingdao,31,33,39,93,9,12,71,8,9,429,122,86,-,112,8,8,35,60,18,0
Rotterdam,128,58,248,4,33,46,323,92,37,176,101,25,128,-,353,351,137,29,51,109
Shanghai,13,89,61,289,23,25,112,12,25,472,294,185,20,341,-,14,54,140,35,4
Shenzhen,37,76,54,296,20,23,137,9,23,311,295,196,17,391,45,-,38,119,10,7
Singapore,53,57,28,139,4,9,98,37,7,302,104,97,52,199,69,91,-,96,19,46
Tanger Med,65,32,131,14,22,31,163,38,22,70,21,11,60,15,171,164,90,-,28,52
Tianjin,25,26,31,84,6,9,67,16,8,202,91,58,2,124,11,7,34,43,-,0
Xiamen,30,32,43,139,9,11,93,8,10,168,145,92,11,170,33,12,38,61,1,-
