PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.68
2,6,10,18.78
3,11,15,18.80
4,16,20,18.91
5,21,25,18.64
6,26,30,18.39
7,31,35,19.00
8,36,40,19.55
9,41,45,19.40
10,46,50,18.43
11,51,55,18.65
12,56,60,18.84
13,61,65,18.60
14,66,70,19.29
15,71,75,19.48
16,76,80,19.33
17,81,85,18.99
18,86,90,19.54
19,91,95,18.83
20,96,100,19.39
21,101,105,20.27
22,106,110,20.76
23,111,115,21.35
24,116,120,21.23
25,121,125,19.87
26,126,130,20.26
27,131,135,20.61
28,136,140,20.47
29,141,145,21.41
30,146,150,21.53
31,151,155,20.97
32,156,160,20.75
33,161,165,21.33
34,166,170,22.42
35,171,175,23.00
36,176,180,23.61
37,181,185,21.29
38,186,190,21.96
39,191,195,22.09
40,196,200,21.46
41,201,205,21.52
42,206,210,22.15
43,211,215,21.85
44,216,220,20.62
45,221,225,20.40
46,226,230,20.40
47,231,235,20.44
48,236,240,20.73
49,241,245,21.53
50,246,250,20.19
51,251,255,19.78
52,256,260,19.67
53,261,265,19.93
54,266,270,20.45
55,271,275,19.68
56,276,280,20.58
57,281,285,20.27
58,286,290,19.82
59,291,295,20.71
60,296,300,20.96
61,301,305,21.64
62,306,310,21.87
63,311,315,21.72
64,316,320,20.99
65,321,325,21.61
66,326,330,20.34
67,331,335,20.19
68,336,340,21.04
69,341,345,21.63
70,346,350,20.26
71,351,355,20.01
72,356,360,20.46
,,OverallMean,20.41
,,PeriodStdDev,1.17
