Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,64,162,11,16,141,81,13,488,218,123,8,207,33,41,62,80,5,28
Cartagena,33,-,64,39,14,18,57,20,14,96,33,40,42,55,117,104,59,32,24,27
Colombo,61,52,-,136,14,17,65,44,17,94,99,92,50,197,84,99,30,100,19,41
Hamburg,87,39,167,-,22,29,223,58,22,127,69,29,82,8,249,257,99,24,40,77
Ho Chi Minh City,14,16,28,43,-,8,54,11,2,79,33,28,17,65,44,47,15,29,9,13
Jakarta,19,22,35,53,4,-,68,12,5,105,47,55,17,83,52,58,6,34,13,15
Jebel Ali,67,44,64,127,18,24,-,49,19,166,96,79,50,190,74,86,53,136,18,44
Kaohsiung,16,26,30,87,12,14,52,-,12,265,89,55,15,96,32,18,33,45,9,9
Laem Chabang,14,17,25,41,4,7,56,11,-,92,33,38,15,59,41,46,10,28,11,12
Los Angeles,282,134,105,113,32,41,161,141,33,-,446,97,221,169,435,286,112,70,100,143
New Jersey,94,47,145,69,18,21,109,73,16,437,-,59,90,78,254,236,73,21,37,78
Piraeus,68,48,111,18,17,19,133,44,14,89,75,-,61,37,175,163,69,20,25,52
Qingdao,28,34,40,94,9,13,73,8,9,429,129,87,-,113,8,9,37,60,17,0
Rotterdam,130,57,248,5,32,46,321,94,36,192,102,25,129,-,353,351,137,30,51,107
Shanghai,13,86,62,289,22,26,113,11,23,469,295,184,20,342,-,14,55,140,32,4
Shenzhen,38,72,55,296,19,24,137,7,22,308,294,194,16,388,39,-,39,119,10,6
Singapore,53,56,29,139,4,9,98,40,7,346,105,96,53,199,70,94,-,96,20,43
Tanger Med,66,32,130,14,22,31,161,39,22,76,21,11,60,15,170,164,90,-,28,51
Tianjin,23,27,33,86,6,10,69,16,8,201,97,59,2,126,10,7,35,43,-,0
Xiamen,28,33,44,141,9,11,97,7,10,168,154,94,10,174,29,12,41,62,1,-
