Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,24,23,4,6,42,124,5,110,34,21,31,31,83,30,27,13,12,25
Cartagena,4,-,12,22,2,3,11,3,2,9,63,19,6,33,19,16,10,22,3,4
Colombo,18,11,-,25,12,16,108,11,14,10,30,22,13,37,45,47,62,21,4,14
Hamburg,9,23,25,-,3,3,39,5,3,8,55,21,7,37,28,29,14,33,4,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,15,8,109,28,11,15,-,10,10,16,22,24,10,43,27,28,52,34,3,11
Kaohsiung,30,3,6,8,2,3,8,-,2,72,9,6,11,9,22,10,8,4,10,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,14,2,1,2
Los Angeles,46,11,12,9,4,6,19,22,4,-,38,8,36,14,77,43,16,6,14,22
New Jersey,11,91,25,54,3,3,24,9,2,35,-,33,11,66,37,33,12,24,4,10
Piraeus,9,13,21,13,3,3,28,6,2,6,19,-,7,31,25,22,11,29,3,6
Qingdao,13,4,11,9,2,3,16,21,2,104,14,10,-,11,29,10,13,7,4,0
Rotterdam,13,35,38,22,4,6,56,9,4,13,84,20,13,-,44,41,19,52,5,12
Shanghai,50,14,33,38,10,12,41,35,9,117,60,29,41,45,-,28,45,19,29,11
Shenzhen,35,14,40,45,11,14,63,27,11,39,65,36,8,58,19,-,52,19,7,3
Singapore,20,10,58,23,8,17,92,13,8,39,26,20,16,33,64,63,-,17,5,17
Tanger Med,7,23,22,18,3,4,32,4,3,5,24,17,7,27,22,20,13,-,3,6
Tianjin,10,3,9,8,1,2,15,6,2,24,10,7,11,12,23,7,11,4,-,0
Xiamen,21,4,15,14,3,3,23,16,3,19,16,11,5,18,13,48,17,7,1,-
