Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,650,152,802,0.02
Cartagena,262,0,262,0.01
Colombo,520,24,543,0.01
Hamburg,354,0,354,0.00
Ho Chi Minh City,94,0,94,0.04
Jakarta,110,0,110,0.05
Jebel Ali,480,0,480,0.00
Kaohsiung,226,97,323,0.09
Laem Chabang,93,0,93,0.02
Los Angeles,407,0,407,0.00
New Jersey,487,166,653,0.01
Piraeus,255,0,255,0.00
Qingdao,284,61,345,0.01
Rotterdam,493,0,493,0.00
Shanghai,669,"1,463","2,132",0.00
Shenzhen,564,180,744,0.00
Singapore,550,552,"1,102",0.01
Tanger Med,259,93,352,0.01
Tianjin,165,0,165,0.01
Xiamen,254,0,254,0.02
TOTAL,"7,177","2,787","9,964",0.31
