Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,265,"1,374","1,442",223,305,"2,393","6,855",240,"5,590","2,054","1,220","1,818","1,796","4,476","2,391","1,580",749,"1,122","1,324"
Cartagena,184,-,546,"1,038",103,142,534,117,93,430,"2,719",791,248,"1,492",864,666,483,"1,093",135,165
Colombo,"1,286",527,-,"1,878",618,794,"5,539",860,667,635,"1,612","1,586","1,000","2,708","3,571","3,508","3,000","1,521",313,"1,062"
Hamburg,637,908,"1,923",-,193,262,"2,918",432,198,566,"2,475","1,562",565,"2,939","2,273","2,233","1,009","2,586",271,610
Ho Chi Minh City,229,124,736,416,-,671,"1,123",168,539,545,346,319,245,628,"1,239","1,171","1,816",304,119,248
Jakarta,319,177,"1,051",532,443,-,"1,540",215,466,752,504,654,277,836,"1,616","1,551","1,466",374,180,309
Jebel Ali,"1,164",347,"5,242","2,023",535,739,-,797,525,"1,102","1,081","1,681",807,"3,090","2,152","2,200","2,473","2,500",248,884
Kaohsiung,"2,423",158,444,660,160,203,637,-,166,"3,593",710,461,901,727,"1,701",781,545,339,808,402
Laem Chabang,244,134,733,417,226,751,"1,197",168,-,611,363,449,241,583,"1,236","1,192","1,810",294,151,237
Los Angeles,"2,691",590,780,544,238,304,"1,110","1,208",231,-,"2,281",508,"2,086",832,"4,415","2,413",886,353,845,"1,202"
New Jersey,688,"3,529","1,612","2,533",151,192,"1,129",516,135,"2,077",-,"1,464",643,"3,040","2,347","1,917",746,"1,101",245,569
Piraeus,572,764,"1,588","1,037",179,209,"2,274",369,155,445,"1,460",-,504,"2,361","1,894","1,666",863,"2,179",199,489
Qingdao,"1,134",256,994,844,203,304,"1,434","1,050",194,"5,122","1,247",890,-,"1,006","2,651",911,"1,177",567,445,46
Rotterdam,973,"1,409","2,937","1,779",305,430,"4,347",680,333,831,"3,894","1,555",911,-,"3,193","3,106","1,440","4,041",351,861
Shanghai,"2,722",723,"2,522","3,000",752,933,"3,232","1,868",752,"5,923","3,517","2,239","2,449","3,574",-,"2,275","3,562","1,572","1,672",989
Shenzhen,"3,181",641,"2,855","3,242",808,"1,078","4,602","2,128",855,"2,897","3,763","2,550",769,"4,274","1,854",-,"3,839","1,408",646,264
Singapore,"1,455",529,"2,906","1,701",905,"2,122","4,658",964,946,"2,692","1,499","1,419","1,313","2,445","4,904","4,926",-,"1,275",360,"1,414"
Tanger Med,497,952,"1,653","1,524",213,305,"2,442",304,221,349,"1,095","1,189",459,"2,079","1,688","1,535","1,031",-,203,432
Tianjin,889,189,763,751,138,203,"1,314",548,156,"2,023",918,610,987,"1,113","2,129",632,"1,060",405,-,43
Xiamen,"1,860",256,"1,269","1,318",231,285,"2,129","1,227",253,"1,556","1,598","1,005",445,"1,612","1,200","4,361","1,568",603,42,-
