Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,649,151,801,0.02
Cartagena,263,0,263,0.01
Colombo,519,24,543,0.00
Hamburg,355,0,355,0.00
Ho Chi Minh City,94,0,94,0.04
Jakarta,110,0,110,0.05
Jebel Ali,479,0,479,0.00
Kaohsiung,227,97,324,0.09
Laem Chabang,93,0,93,0.02
Los Angeles,408,0,408,0.00
New Jersey,488,166,654,0.01
Piraeus,255,0,255,0.00
Qingdao,283,61,345,0.01
Rotterdam,494,0,494,0.00
Shanghai,670,"1,465","2,136",0.00
Shenzhen,566,181,747,0.00
Singapore,550,552,"1,102",0.01
Tanger Med,260,93,353,0.01
Tianjin,165,0,165,0.01
Xiamen,254,0,254,0.02
TOTAL,"7,181","2,790","9,972",0.31
