Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,484","1,391",236,332,"2,578","6,969",258,"5,559","2,043","1,212","1,850","1,764","4,566","2,401","1,741",737,"1,123","1,339"
Cartagena,184,-,544,"1,039",108,141,533,123,97,429,"2,722",801,245,"1,488",848,711,471,"1,090",135,164
Colombo,"1,314",526,-,"1,803",618,795,"5,555",867,667,650,"1,617","1,624","1,015","2,678","3,545","3,529","3,003","1,499",318,"1,037"
Hamburg,645,908,"1,910",-,192,274,"2,902",445,198,573,"2,472","1,602",579,"2,830","2,271","2,266","1,028","2,543",275,599
Ho Chi Minh City,232,123,736,400,-,671,"1,124",169,539,553,347,322,255,617,"1,210","1,175","1,817",298,127,243
Jakarta,334,177,"1,054",503,445,-,"1,543",216,466,769,507,664,288,819,"1,619","1,591","1,465",368,184,307
Jebel Ali,"1,175",347,"5,245","1,971",539,740,-,806,527,"1,112","1,081","1,711",827,"3,043","2,146","2,208","2,486","2,472",254,859
Kaohsiung,"2,474",158,489,633,183,218,704,-,187,"3,569",703,447,898,710,"1,703",784,613,335,810,397
Laem Chabang,249,129,734,401,226,751,"1,200",168,-,624,364,457,244,572,"1,213","1,195","1,812",292,162,235
Los Angeles,"2,742",594,787,527,238,304,"1,106","1,233",231,-,"2,262",506,"2,118",828,"4,328","2,483",908,352,858,"1,231"
New Jersey,681,"3,526","1,592","2,533",160,193,"1,126",541,138,"2,052",-,"1,488",638,"3,035","2,299","1,998",725,"1,101",247,563
Piraeus,579,739,"1,572","1,000",179,214,"2,247",375,155,451,"1,486",-,507,"2,332","1,889","1,685",873,"2,137",205,481
Qingdao,"1,134",256,"1,011",802,203,304,"1,438","1,064",193,"5,089","1,224",905,-,979,"2,657",913,"1,195",556,445,45
Rotterdam,983,"1,410","2,885","1,689",305,446,"4,282",695,333,842,"3,884","1,594",938,-,"3,173","3,155","1,457","4,001",359,840
Shanghai,"2,783",715,"2,596","2,917",760,940,"3,248","1,902",761,"5,877","3,522","2,279","2,495","3,495",-,"2,287","3,642","1,543","1,699",976
Shenzhen,"3,239",636,"2,913","3,138",818,"1,081","4,648","2,133",861,"2,897","3,768","2,602",767,"4,220","1,854",-,"3,935","1,393",647,259
Singapore,"1,475",524,"2,911","1,643",904,"2,121","4,671",981,947,"2,727","1,500","1,456","1,328","2,416","4,876","4,942",-,"1,259",373,"1,378"
Tanger Med,512,951,"1,649","1,469",213,314,"2,401",310,221,354,"1,089","1,215",466,"2,054","1,684","1,550","1,041",-,208,420
Tianjin,887,189,777,718,138,203,"1,313",559,155,"1,985",900,621,990,"1,096","2,133",632,"1,080",393,-,42
Xiamen,"1,896",256,"1,295","1,249",230,285,"2,126","1,222",253,"1,559","1,572","1,031",443,"1,581","1,197","4,366","1,605",593,42,-
