PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.82
2,6,10,19.05
3,11,15,18.89
4,16,20,19.21
5,21,25,18.70
6,26,30,18.56
7,31,35,19.17
8,36,40,19.28
9,41,45,19.10
10,46,50,18.59
11,51,55,18.88
12,56,60,18.65
13,61,65,19.31
14,66,70,19.95
15,71,75,18.90
16,76,80,19.48
17,81,85,19.57
18,86,90,19.05
19,91,95,19.51
20,96,100,19.94
21,101,105,19.95
22,106,110,20.97
23,111,115,21.25
24,116,120,21.24
25,121,125,21.08
26,126,130,19.98
27,131,135,20.13
28,136,140,21.31
29,141,145,21.80
30,146,150,21.75
31,151,155,21.77
32,156,160,20.99
33,161,165,21.76
34,166,170,22.81
35,171,175,23.44
36,176,180,21.55
37,181,185,22.28
38,186,190,22.20
39,191,195,21.92
40,196,200,21.96
41,201,205,22.03
42,206,210,22.07
43,211,215,21.59
44,216,220,21.36
45,221,225,20.00
46,226,230,19.74
47,231,235,19.68
48,236,240,20.77
49,241,245,21.84
50,246,250,20.33
51,251,255,19.19
52,256,260,18.90
53,261,265,19.81
54,266,270,19.55
55,271,275,20.11
56,276,280,20.80
57,281,285,20.86
58,286,290,20.80
59,291,295,20.74
60,296,300,20.81
61,301,305,21.23
62,306,310,21.67
63,311,315,22.53
64,316,320,21.46
65,321,325,20.49
66,326,330,19.43
67,331,335,20.08
68,336,340,20.16
69,341,345,20.72
70,346,350,21.01
71,351,355,20.86
72,356,360,21.03
,,OverallMean,20.48
,,PeriodStdDev,1.19
