Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,35,61,158,11,15,133,85,12,501,207,120,8,202,34,41,58,78,5,31
Cartagena,32,-,62,39,14,18,59,20,14,96,33,44,42,54,114,101,58,32,25,26
Colombo,59,53,-,136,14,18,66,45,17,92,100,92,48,197,83,98,30,101,19,43
Hamburg,86,40,169,-,22,30,226,59,23,127,70,28,80,8,250,257,100,23,40,78
Ho Chi Minh City,13,16,29,43,-,8,56,11,2,79,32,28,16,65,44,45,15,29,9,13
Jakarta,18,22,36,51,4,-,70,13,5,107,45,53,17,82,52,59,6,33,13,15
Jebel Ali,64,42,64,128,18,25,-,50,19,166,92,79,48,190,74,85,53,137,18,44
Kaohsiung,16,26,30,86,12,14,52,-,13,269,86,56,13,97,30,17,35,44,9,9
Laem Chabang,14,17,26,42,4,7,57,10,-,92,32,38,14,58,40,44,10,28,11,13
Los Angeles,279,132,107,113,33,41,163,141,33,-,438,98,219,170,432,294,115,70,101,141
New Jersey,97,47,145,69,18,21,114,76,16,461,-,65,95,77,253,236,73,21,39,77
Piraeus,68,46,112,18,17,19,136,45,15,89,69,-,60,37,177,164,70,20,25,54
Qingdao,32,34,39,93,9,13,71,9,9,435,128,86,-,113,8,8,36,59,19,0
Rotterdam,128,58,251,5,33,46,326,94,37,189,102,25,127,-,355,352,139,29,51,108
Shanghai,13,88,60,286,21,25,110,12,24,478,297,182,20,338,-,13,53,139,36,4
Shenzhen,41,75,53,292,20,23,134,9,23,308,297,193,15,387,39,-,37,117,11,7
Singapore,51,58,28,139,4,9,97,41,7,346,105,96,51,197,69,92,-,95,19,45
Tanger Med,65,32,132,14,22,31,165,40,22,77,21,11,59,15,172,165,91,-,28,52
Tianjin,27,27,32,85,6,9,67,16,8,216,95,58,2,125,11,7,34,43,-,0
Xiamen,32,34,44,139,9,10,95,8,10,167,151,93,10,172,29,12,40,61,1,-
