Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,26,26,4,6,46,139,5,111,38,23,35,34,90,32,31,14,13,26
Cartagena,4,-,12,23,2,3,12,3,2,9,65,19,6,34,19,17,10,23,3,4
Colombo,19,9,-,26,12,16,111,13,14,10,22,22,14,37,50,50,62,21,4,14
Hamburg,9,24,24,-,3,3,41,6,2,9,56,21,8,39,30,29,15,34,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,2,4,6,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,5,4,-,12,2,4,7,4,5,2,7,14,13,12,3,1,2
Jebel Ali,16,7,107,28,11,15,-,11,10,17,22,24,12,41,29,30,51,35,3,12
Kaohsiung,33,3,6,8,2,3,9,-,2,83,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,49,11,13,10,4,6,20,23,4,-,41,9,38,15,81,46,16,6,16,24
New Jersey,9,93,21,55,2,2,25,7,2,30,-,33,9,68,30,27,9,25,3,8
Piraeus,8,13,22,14,3,3,30,5,2,7,20,-,7,32,26,23,11,31,2,6
Qingdao,14,4,12,11,3,3,18,23,2,109,16,11,-,12,32,11,15,8,5,1
Rotterdam,13,35,39,23,4,6,60,10,4,13,87,20,14,-,45,41,19,53,5,12
Shanghai,55,12,37,42,11,13,46,39,11,133,47,32,45,49,-,33,49,22,31,13
Shenzhen,33,11,42,44,11,15,65,27,12,38,50,38,8,61,19,-,55,20,7,3
Singapore,20,8,59,23,8,17,92,15,8,43,20,19,18,34,68,67,-,18,6,20
Tanger Med,8,23,23,19,3,4,32,4,3,5,25,17,7,29,23,21,14,-,3,6
Tianjin,11,3,11,9,2,3,16,6,2,25,11,7,12,13,26,8,13,5,-,0
Xiamen,23,4,15,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
