Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,329","1,399",210,301,"2,372","7,027",230,"5,571","2,048","1,212","1,858","1,783","4,594","2,345","1,543",747,"1,130","1,338"
Cartagena,184,-,542,"1,036",111,129,531,117,97,429,"2,708",798,245,"1,485",863,729,483,"1,089",135,164
Colombo,"1,298",526,-,"1,812",618,790,"5,522",865,664,648,"1,633","1,559","1,002","2,684","3,465","3,360","2,993","1,502",314,"1,027"
Hamburg,641,905,"1,933",-,186,258,"2,925",442,193,569,"2,474","1,638",573,"2,841","2,173","2,163","1,028","2,525",273,590
Ho Chi Minh City,230,123,737,400,-,662,"1,125",169,538,553,354,313,249,617,"1,197","1,138","1,854",299,121,245
Jakarta,320,177,"1,054",510,446,-,"1,544",208,466,751,507,646,278,836,"1,554","1,501","1,467",377,180,302
Jebel Ali,"1,174",345,"5,436","1,976",537,739,-,797,527,"1,111","1,077","1,656",812,"3,048","2,059","2,104","2,468","2,479",250,860
Kaohsiung,"2,479",154,426,640,152,207,642,-,159,"3,572",705,450,894,716,"1,687",785,528,336,813,398
Laem Chabang,251,129,734,403,226,737,"1,200",174,-,624,372,444,246,572,"1,202","1,156","1,860",292,154,234
Los Angeles,"2,764",574,737,528,218,284,"1,054","1,253",205,-,"2,277",508,"2,143",832,"4,421","2,216",816,353,862,"1,212"
New Jersey,693,"3,515","1,601","2,528",165,180,"1,124",524,141,"2,034",-,"1,484",645,"3,027","2,330","2,041",753,"1,100",249,578
Piraeus,573,765,"1,589","1,005",171,203,"2,278",370,147,449,"1,474",-,505,"2,336","1,830","1,605",876,"2,137",201,479
Qingdao,"1,164",252,979,824,198,300,"1,401","1,077",182,"5,098","1,259",877,-,"1,017","2,607",921,"1,157",574,456,45
Rotterdam,979,"1,403","2,946","1,700",289,410,"4,358",680,324,837,"3,883","1,614",914,-,"3,046","3,022","1,459","3,958",352,827
Shanghai,"2,812",714,"2,492","2,916",724,926,"3,192","1,908",728,"5,867","3,563","2,212","2,516","3,497",-,"2,180","3,538","1,540","1,717",977
Shenzhen,"3,256",632,"2,823","3,137",787,"1,072","4,554","2,135",822,"2,965","3,806","2,518",768,"4,230","1,803",-,"3,785","1,394",652,260
Singapore,"1,464",519,"2,899","1,649",904,"2,088","4,657",978,947,"2,720","1,512","1,397","1,320","2,422","4,739","4,760",-,"1,260",361,"1,372"
Tanger Med,501,949,"1,660","1,474",203,291,"2,454",307,210,351,"1,090","1,248",464,"2,062","1,621","1,482","1,043",-,206,417
Tianjin,908,186,740,742,133,202,"1,299",559,152,"1,987",918,589,992,"1,124","2,088",636,"1,040",407,-,42
Xiamen,"1,905",249,"1,250","1,288",225,278,"2,081","1,228",243,"1,597","1,605",988,445,"1,625","1,168","4,380","1,549",607,42,-
