Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,706,161,868,0.01
Cartagena,269,0,269,0.00
Colombo,527,19,547,0.01
Hamburg,366,0,366,0.00
Ho Chi Minh City,93,0,93,0.05
Jakarta,111,0,111,0.05
Jebel Ali,482,0,482,0.00
Kaohsiung,247,87,334,0.14
Laem Chabang,94,0,94,0.02
Los Angeles,435,0,435,0.00
New Jersey,458,167,626,0.00
Piraeus,265,0,265,0.00
Qingdao,309,64,373,0.01
Rotterdam,502,0,502,0.01
Shanghai,718,"1,496","2,214",0.00
Shenzhen,560,171,731,0.00
Singapore,563,561,"1,124",0.01
Tanger Med,267,103,371,0.01
Tianjin,184,0,184,0.01
Xiamen,282,0,282,0.02
TOTAL,"7,441","2,830","10,271",0.36
