PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.68
2,6,10,18.78
3,11,15,18.78
4,16,20,18.83
5,21,25,18.57
6,26,30,18.45
7,31,35,18.81
8,36,40,18.91
9,41,45,19.62
10,46,50,18.46
11,51,55,18.63
12,56,60,18.71
13,61,65,18.64
14,66,70,19.20
15,71,75,19.52
16,76,80,19.74
17,81,85,19.31
18,86,90,19.64
19,91,95,19.04
20,96,100,19.69
21,101,105,20.23
22,106,110,20.42
23,111,115,20.83
24,116,120,20.88
25,121,125,20.06
26,126,130,19.94
27,131,135,20.37
28,136,140,20.31
29,141,145,20.60
30,146,150,20.61
31,151,155,20.36
32,156,160,20.07
33,161,165,20.79
34,166,170,21.99
35,171,175,21.96
36,176,180,21.31
37,181,185,20.87
38,186,190,20.97
39,191,195,20.89
40,196,200,21.16
41,201,205,20.61
42,206,210,21.57
43,211,215,20.34
44,216,220,20.20
45,221,225,19.45
46,226,230,18.78
47,231,235,19.82
48,236,240,20.35
49,241,245,21.27
50,246,250,18.98
51,251,255,18.62
52,256,260,18.80
53,261,265,20.02
54,266,270,20.27
55,271,275,20.35
56,276,280,20.12
57,281,285,19.64
58,286,290,19.74
59,291,295,19.60
60,296,300,20.58
61,301,305,20.28
62,306,310,21.36
63,311,315,20.42
64,316,320,19.70
65,321,325,19.02
66,326,330,19.57
67,331,335,19.43
68,336,340,20.47
69,341,345,20.06
70,346,350,19.58
71,351,355,19.64
72,356,360,20.36
,,OverallMean,19.91
,,PeriodStdDev,0.89
