Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,4,22,22,4,5,39,114,4,96,30,18,28,27,73,32,25,12,14,23
Cartagena,5,-,14,24,2,3,13,3,2,10,71,20,7,38,21,18,11,25,3,4
Colombo,15,10,-,21,13,16,112,10,14,8,28,19,12,31,40,41,62,18,4,12
Hamburg,8,26,21,-,2,3,34,5,2,8,62,18,7,32,25,25,12,28,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,1,4,5,3,3,2,6,10,9,16,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,14,13,12,3,2,3
Jebel Ali,13,8,108,24,11,15,-,9,10,15,22,21,9,37,24,25,51,29,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,62,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,44,11,12,9,4,5,19,21,4,-,37,8,35,13,71,41,13,6,13,20
New Jersey,11,102,25,59,3,3,27,9,2,37,-,38,10,76,37,32,12,27,4,9
Piraeus,7,12,18,11,2,2,26,5,2,6,17,-,6,27,22,20,10,25,2,6
Qingdao,14,4,12,11,3,4,18,18,2,88,16,11,-,12,32,11,15,8,5,1
Rotterdam,12,39,34,19,4,5,49,8,4,11,94,18,12,-,40,36,16,46,4,10
Shanghai,44,14,31,35,9,10,37,32,9,103,57,27,39,40,-,26,40,17,27,13
Shenzhen,35,13,35,39,10,13,54,28,10,38,61,32,8,52,19,-,47,17,7,3
Singapore,17,10,59,20,8,17,91,12,8,35,26,17,15,29,56,55,-,15,4,16
Tanger Med,6,26,19,16,2,4,27,3,3,4,28,15,5,24,19,18,12,-,3,5
Tianjin,11,3,11,9,2,3,16,6,2,24,11,7,12,14,26,8,13,5,-,0
Xiamen,23,4,16,16,3,3,25,16,3,19,19,13,5,20,15,56,19,7,1,-
