Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,259,"1,446","1,405",235,332,"2,569","6,964",256,"5,608","2,067","1,224","1,847","1,746","4,564","2,406","1,702",751,"1,130","1,328"
Cartagena,183,-,538,"1,029",108,140,529,117,97,429,"2,682",793,241,"1,472",855,721,475,"1,083",134,162
Colombo,"1,313",520,-,"1,850",618,794,"5,530",860,666,666,"1,600","1,609","1,016","2,680","3,610","3,413","2,995","1,547",314,"1,038"
Hamburg,643,900,"1,904",-,197,268,"2,937",431,200,582,"2,482","1,604",576,"2,886","2,284","2,182","1,030","2,553",275,595
Ho Chi Minh City,232,116,736,407,-,671,"1,124",169,540,561,338,322,255,616,"1,261","1,155","1,817",312,122,244
Jakarta,334,171,"1,052",517,445,-,"1,543",215,466,769,507,654,287,819,"1,619","1,520","1,465",375,184,307
Jebel Ali,"1,180",347,"5,236","2,005",535,739,-,794,524,"1,124","1,080","1,696",826,"3,047","2,174","2,133","2,466","2,528",253,866
Kaohsiung,"2,430",148,478,634,178,211,690,-,184,"3,616",714,464,902,697,"1,687",785,596,341,814,398
Laem Chabang,249,128,734,408,226,751,"1,200",168,-,633,353,457,244,571,"1,254","1,178","1,812",299,158,236
Los Angeles,"2,741",552,770,535,237,301,"1,102","1,227",229,-,"2,295",511,"2,113",817,"4,315","2,371",870,355,858,"1,228"
New Jersey,688,"3,483","1,612","2,516",162,192,"1,115",517,138,"2,051",-,"1,471",643,"3,010","2,320","2,023",753,"1,096",245,570
Piraeus,577,754,"1,572","1,025",188,209,"2,280",368,156,455,"1,487",-,506,"2,321","1,916","1,616",877,"2,207",203,481
Qingdao,"1,136",246,"1,005",824,203,305,"1,446","1,064",195,"5,147","1,230",895,-,988,"2,607",922,"1,182",571,446,45
Rotterdam,981,"1,383","2,888","1,744",308,432,"4,367",678,341,855,"3,913","1,595",927,-,"3,234","3,040","1,462","4,008",355,832
Shanghai,"2,778",695,"2,522","2,975",753,933,"3,232","1,894",752,"5,955","3,483","2,255","2,489","3,495",-,"2,213","3,565","1,595","1,697",978
Shenzhen,"3,206",620,"2,856","3,210",810,"1,080","4,603","2,139",855,"2,914","3,731","2,581",770,"4,221","1,805",-,"3,843","1,420",652,260
Singapore,"1,474",507,"2,902","1,680",906,"2,125","4,657",962,947,"2,767","1,494","1,438","1,327","2,420","4,941","4,816",-,"1,284",370,"1,380"
Tanger Med,507,939,"1,646","1,495",218,308,"2,462",304,221,364,"1,096","1,222",465,"2,049","1,701","1,496","1,047",-,207,419
Tianjin,892,182,769,742,138,204,"1,323",562,158,"2,025",902,610,992,"1,101","2,090",636,"1,068",405,-,42
Xiamen,"1,872",243,"1,273","1,291",231,286,"2,134","1,234",254,"1,567","1,580","1,010",445,"1,586","1,170","4,380","1,575",606,42,-
