PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.93
2,6,10,19.00
3,11,15,18.97
4,16,20,18.70
5,21,25,18.76
6,26,30,18.89
7,31,35,19.59
8,36,40,19.26
9,41,45,19.10
10,46,50,18.60
11,51,55,18.47
12,56,60,18.94
13,61,65,19.27
14,66,70,19.18
15,71,75,19.26
16,76,80,19.56
17,81,85,18.95
18,86,90,19.52
19,91,95,19.60
20,96,100,20.42
21,101,105,20.73
22,106,110,21.72
23,111,115,21.52
24,116,120,22.22
25,121,125,21.61
26,126,130,21.67
27,131,135,22.08
28,136,140,22.96
29,141,145,23.58
30,146,150,22.96
31,151,155,23.03
32,156,160,23.47
33,161,165,24.26
34,166,170,25.08
35,171,175,25.92
36,176,180,24.89
37,181,185,24.69
38,186,190,24.58
39,191,195,23.96
40,196,200,24.13
41,201,205,24.66
42,206,210,25.22
43,211,215,21.94
44,216,220,20.58
45,221,225,20.74
46,226,230,20.71
47,231,235,21.25
48,236,240,21.86
49,241,245,19.94
50,246,250,20.69
51,251,255,21.20
52,256,260,20.35
53,261,265,19.65
54,266,270,20.03
55,271,275,20.64
56,276,280,20.01
57,281,285,19.62
58,286,290,20.93
59,291,295,21.01
60,296,300,21.21
61,301,305,21.66
62,306,310,22.02
63,311,315,20.51
64,316,320,21.14
65,321,325,21.31
66,326,330,20.21
67,331,335,21.18
68,336,340,21.43
69,341,345,21.51
70,346,350,19.90
71,351,355,19.87
72,356,360,20.41
,,OverallMean,21.13
,,PeriodStdDev,1.91
