Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,65,161,11,16,141,90,13,538,216,124,8,207,35,39,60,80,5,35
Cartagena,33,-,63,39,14,19,58,20,14,97,33,43,42,55,115,103,58,32,25,26
Colombo,66,52,-,137,13,18,66,47,17,99,100,93,55,198,83,98,30,101,22,42
Hamburg,90,40,167,-,22,29,224,60,22,131,69,28,83,8,249,256,99,23,41,77
Ho Chi Minh City,15,16,28,43,-,8,54,11,2,80,32,27,17,64,43,45,15,28,10,13
Jakarta,20,22,36,51,4,-,69,13,5,111,47,54,18,82,50,55,6,34,14,15
Jebel Ali,73,42,64,128,17,25,-,49,19,173,94,80,53,190,73,85,53,137,19,44
Kaohsiung,16,28,33,89,14,15,54,-,13,288,91,58,15,99,33,17,35,45,9,9
Laem Chabang,15,16,25,41,4,7,55,11,-,95,33,38,16,58,39,44,10,28,12,12
Los Angeles,278,134,103,111,32,40,159,142,32,-,445,96,218,167,430,278,109,69,102,143
New Jersey,97,47,144,69,18,21,109,75,16,465,-,62,94,77,254,235,73,21,39,77
Piraeus,71,47,111,18,17,19,134,45,14,94,71,-,64,37,176,163,69,19,27,53
Qingdao,31,33,39,92,9,13,71,10,9,471,125,86,-,112,8,8,35,60,19,0
Rotterdam,135,57,247,4,32,46,322,95,36,197,101,25,134,-,352,350,137,28,54,108
Shanghai,14,86,61,288,21,26,113,15,24,517,296,185,20,342,-,14,54,140,37,4
Shenzhen,41,72,55,296,19,25,138,9,22,338,296,196,16,390,39,-,38,119,11,7
Singapore,60,56,28,139,4,9,97,43,7,367,105,97,59,199,69,92,-,96,23,45
Tanger Med,69,32,131,13,22,31,163,39,22,81,21,11,63,15,170,164,90,-,29,51
Tianjin,27,26,31,85,6,9,67,18,7,235,94,59,2,125,11,7,33,43,-,0
Xiamen,29,33,42,138,9,11,93,8,10,185,147,92,9,171,29,12,38,60,1,-
