Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,6,29,29,5,7,51,155,6,129,43,26,37,39,97,32,35,15,13,30
Cartagena,4,-,11,21,2,2,10,3,2,8,57,17,5,29,17,15,9,22,3,3
Colombo,16,10,-,22,12,16,112,11,14,9,26,19,12,33,41,42,62,19,4,12
Hamburg,8,21,23,-,2,3,35,5,2,8,51,19,7,35,27,26,13,30,3,7
Ho Chi Minh City,2,1,6,3,-,5,9,2,4,6,3,3,2,6,10,10,16,3,1,2
Jakarta,3,2,9,5,4,-,12,2,4,7,4,5,2,7,14,13,12,3,2,2
Jebel Ali,13,8,108,26,11,15,-,9,10,15,22,22,9,37,26,26,52,31,3,10
Kaohsiung,33,3,6,8,2,3,9,-,2,89,10,6,12,9,23,11,8,5,11,5
Laem Chabang,2,2,6,3,2,6,10,2,-,6,3,4,2,5,10,10,15,2,1,2
Los Angeles,59,16,16,12,5,7,25,29,6,-,51,12,45,18,97,53,20,8,20,28
New Jersey,10,87,24,50,2,3,23,8,2,35,-,30,10,62,35,31,11,23,4,9
Piraeus,7,13,19,12,2,3,27,4,2,6,19,-,6,30,23,20,10,27,2,5
Qingdao,14,4,12,11,3,4,17,26,2,125,15,11,-,12,31,11,15,8,5,0
Rotterdam,12,33,34,20,4,5,53,9,4,12,79,19,12,-,40,37,18,48,4,10
Shanghai,60,13,29,34,9,11,38,42,9,141,57,27,53,42,-,27,42,18,33,12
Shenzhen,34,13,33,38,10,12,55,27,10,38,60,31,8,52,18,-,47,17,7,3
Singapore,17,10,59,21,8,18,91,12,8,37,25,17,15,30,57,57,-,16,4,16
Tanger Med,6,21,20,18,2,3,30,4,3,4,22,14,6,25,21,18,12,-,2,5
Tianjin,10,3,10,9,1,3,16,6,2,24,11,7,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,18,13,5,20,14,56,20,7,1,-
