Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,271,"1,446","1,376",228,332,"2,574","6,962",252,"5,473","2,001","1,193","1,850","1,749","4,562","2,394","1,702",732,"1,123","1,309"
Cartagena,185,-,549,"1,040",104,132,523,117,94,431,"2,747",788,248,"1,497",806,671,484,"1,095",135,165
Colombo,"1,317",553,-,"1,799",618,792,"5,530",884,664,648,"1,597","1,632","1,018","2,657","3,529","3,534","2,993","1,483",310,"1,038"
Hamburg,646,983,"1,909",-,190,263,"2,901",451,197,570,"2,462","1,580",581,"2,830","2,248","2,267","1,028","2,518",270,597
Ho Chi Minh City,233,131,737,401,-,662,"1,128",173,539,553,347,321,261,617,"1,241","1,190","1,822",299,122,250
Jakarta,322,184,"1,037",507,446,-,"1,524",217,466,754,508,665,279,827,"1,592","1,561","1,469",366,175,302
Jebel Ali,"1,185",369,"5,219","1,961",539,739,-,822,527,"1,111","1,078","1,721",826,"3,031","2,123","2,197","2,468","2,450",249,867
Kaohsiung,"2,472",167,477,632,178,218,704,-,183,"3,523",704,448,900,711,"1,704",784,594,336,809,397
Laem Chabang,255,139,736,402,229,741,"1,203",179,-,624,364,458,249,574,"1,241","1,214","1,817",292,158,241
Los Angeles,"2,743",599,810,521,237,302,"1,104","1,244",229,-,"2,225",497,"2,123",817,"4,459","2,551",929,347,860,"1,235"
New Jersey,690,"3,685","1,606","2,541",153,178,"1,107",524,135,"2,019",-,"1,455",645,"3,057","2,224","1,935",761,"1,110",245,574
Piraeus,581,816,"1,573",993,178,214,"2,248",381,153,451,"1,466",-,507,"2,312","1,875","1,673",874,"2,120",199,483
Qingdao,"1,133",267,997,823,200,304,"1,437","1,064",186,"5,026","1,220",868,-,"1,007","2,656",912,"1,179",573,445,45
Rotterdam,983,"1,495","2,885","1,676",300,434,"4,281",716,333,841,"3,878","1,575",927,-,"3,144","3,150","1,457","3,954",345,838
Shanghai,"2,778",763,"2,567","2,888",733,937,"3,239","1,902",737,"5,781","3,475","2,209","2,494","3,476",-,"2,271","3,635","1,533","1,691",976
Shenzhen,"3,232",670,"2,895","3,126",792,"1,079","4,621","2,133",834,"2,840","3,726","2,510",763,"4,194","1,836",-,"3,927","1,382",646,259
Singapore,"1,473",556,"2,901","1,638",904,"2,085","4,658",999,950,"2,716","1,493","1,460","1,328","2,412","4,853","4,909",-,"1,247",363,"1,383"
Tanger Med,510,998,"1,649","1,457",211,310,"2,402",313,217,353,"1,088","1,202",470,"2,051","1,668","1,543","1,041",-,204,419
Tianjin,885,198,765,739,135,203,"1,313",559,154,"1,985",899,580,990,"1,121","2,129",635,"1,062",402,-,42
Xiamen,"1,894",264,"1,265","1,284",226,285,"2,126","1,221",246,"1,523","1,572",976,443,"1,620","1,196","4,350","1,566",605,42,-
