PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.85
2,6,10,18.83
3,11,15,18.87
4,16,20,19.24
5,21,25,18.22
6,26,30,18.57
7,31,35,19.07
8,36,40,18.62
9,41,45,18.80
10,46,50,18.65
11,51,55,18.82
12,56,60,19.08
13,61,65,18.71
14,66,70,19.54
15,71,75,19.06
16,76,80,19.47
17,81,85,19.87
18,86,90,19.32
19,91,95,19.61
20,96,100,19.41
21,101,105,20.10
22,106,110,20.84
23,111,115,21.24
24,116,120,21.23
25,121,125,21.60
26,126,130,20.85
27,131,135,21.20
28,136,140,21.33
29,141,145,22.15
30,146,150,21.50
31,151,155,20.73
32,156,160,21.14
33,161,165,21.93
34,166,170,22.82
35,171,175,23.07
36,176,180,22.44
37,181,185,22.22
38,186,190,22.70
39,191,195,22.64
40,196,200,22.38
41,201,205,22.01
42,206,210,20.50
43,211,215,20.47
44,216,220,20.02
45,221,225,19.60
46,226,230,19.92
47,231,235,20.74
48,236,240,21.26
49,241,245,19.87
50,246,250,19.53
51,251,255,19.13
52,256,260,19.76
53,261,265,20.76
54,266,270,20.51
55,271,275,20.20
56,276,280,19.96
57,281,285,19.44
58,286,290,20.61
59,291,295,20.84
60,296,300,21.05
61,301,305,21.82
62,306,310,22.36
63,311,315,21.33
64,316,320,21.40
65,321,325,19.81
66,326,330,19.71
67,331,335,20.97
68,336,340,21.61
69,341,345,22.63
70,346,350,20.18
71,351,355,20.49
72,356,360,21.14
,,OverallMean,20.48
,,PeriodStdDev,1.26
