Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,36,66,162,12,16,144,85,14,493,212,124,8,208,33,44,64,80,5,31
Cartagena,31,-,62,39,14,18,59,21,13,96,33,42,41,54,114,101,58,32,24,26
Colombo,57,52,-,137,14,17,65,41,17,91,100,93,47,198,84,98,30,101,20,44
Hamburg,86,40,167,-,22,29,223,58,23,125,69,29,79,8,248,256,98,24,40,77
Ho Chi Minh City,14,16,28,44,-,8,55,11,2,81,32,28,17,65,47,49,15,29,9,13
Jakarta,18,22,35,53,4,-,70,12,5,104,47,56,17,85,53,59,6,35,13,15
Jebel Ali,64,42,63,128,18,24,-,46,19,163,94,80,47,192,74,85,53,138,18,44
Kaohsiung,16,27,32,86,13,14,53,-,13,265,87,56,15,96,32,17,35,45,9,8
Laem Chabang,14,17,25,42,4,7,57,10,-,94,33,39,15,59,43,48,10,28,11,13
Los Angeles,277,135,105,112,33,41,161,139,33,-,440,97,217,170,427,290,113,69,100,144
New Jersey,93,48,142,68,18,21,113,74,16,451,-,64,91,77,250,232,72,21,37,77
Piraeus,67,47,110,18,17,19,133,43,15,86,70,-,60,37,175,162,69,20,25,53
Qingdao,29,34,41,95,9,13,75,9,9,430,127,89,-,115,8,8,39,61,17,0
Rotterdam,126,58,246,5,33,46,321,92,37,185,101,25,126,-,351,349,137,29,50,109
Shanghai,13,89,60,287,21,24,110,12,23,471,297,183,20,339,-,14,53,139,35,4
Shenzhen,40,75,53,294,19,23,134,9,22,309,297,194,16,388,42,-,37,118,11,6
Singapore,50,58,29,139,4,9,97,38,7,342,105,96,50,199,70,94,-,96,19,46
Tanger Med,64,32,131,14,22,31,161,38,22,75,21,11,59,15,169,163,90,-,28,51
Tianjin,25,27,33,86,6,9,70,15,8,209,95,60,2,128,11,7,36,44,-,0
Xiamen,32,34,46,141,9,11,97,8,11,167,150,95,10,175,30,12,42,62,1,-
