Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,24,23,4,6,43,130,5,103,36,21,31,32,81,32,28,13,14,25
Cartagena,4,-,11,21,2,2,10,3,2,9,58,17,5,30,17,16,9,21,3,3
Colombo,20,10,-,28,12,16,112,13,14,11,25,24,14,40,50,52,62,23,4,16
Hamburg,10,21,27,-,3,4,43,6,3,9,51,22,9,43,33,31,16,38,4,9
Ho Chi Minh City,2,1,6,3,-,6,9,1,5,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,12,2,4,7,4,5,2,7,14,12,12,3,1,3
Jebel Ali,17,8,110,32,11,15,-,12,10,18,22,26,12,46,32,32,51,38,4,12
Kaohsiung,33,3,6,8,2,3,9,-,2,75,10,6,12,9,23,11,8,4,11,5
Laem Chabang,2,2,6,3,2,6,11,1,-,6,3,4,2,5,10,11,15,3,1,2
Los Angeles,47,11,13,10,4,6,20,23,4,-,41,9,37,14,77,43,16,6,16,23
New Jersey,10,85,24,49,2,3,22,8,2,34,-,30,10,62,34,30,11,22,4,9
Piraeus,9,14,24,15,3,3,33,6,2,8,23,-,8,36,27,26,13,33,3,7
Qingdao,14,4,12,11,3,3,18,21,2,99,15,11,-,12,32,11,15,8,6,1
Rotterdam,15,32,43,24,5,6,66,11,5,15,78,22,15,-,52,44,21,59,6,13
Shanghai,52,13,39,45,11,13,47,36,11,121,53,34,42,52,-,34,53,23,29,13
Shenzhen,34,12,44,48,12,16,71,28,13,38,56,40,8,65,19,-,61,22,7,3
Singapore,22,10,59,25,8,17,90,15,8,44,23,21,19,36,71,72,-,20,5,19
Tanger Med,9,21,25,21,3,5,36,4,4,6,22,19,7,32,25,23,16,-,3,6
Tianjin,11,3,10,10,2,3,16,6,2,24,11,8,12,13,26,8,13,5,-,0
Xiamen,24,4,16,16,3,3,25,15,3,19,19,13,5,20,15,56,19,7,1,-
