Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,383","1,394",218,299,"2,356","7,035",238,"5,547","2,028","1,207","1,865","1,769","4,608","2,290","1,530",742,"1,131","1,328"
Cartagena,184,-,545,"1,039",108,143,535,123,97,430,"2,732",799,248,"1,491",870,733,470,"1,093",135,165
Colombo,"1,288",524,-,"1,808",617,794,"5,516",863,666,649,"1,636","1,553","1,001","2,679","3,459","3,352","2,987","1,495",313,"1,024"
Hamburg,640,914,"1,904",-,185,271,"2,892",442,192,570,"2,470","1,595",572,"2,839","2,169","2,161","1,026","2,529",273,588
Ho Chi Minh City,229,120,736,399,-,671,"1,124",167,539,551,354,312,245,615,"1,197","1,134","1,816",297,119,240
Jakarta,320,171,"1,052",510,443,-,"1,540",207,466,770,520,644,277,836,"1,552","1,498","1,467",377,180,298
Jebel Ali,"1,164",347,"5,221","1,969",532,736,-,791,523,"1,111","1,076","1,656",811,"3,047","2,055","2,104","2,463","2,467",249,853
Kaohsiung,"2,430",154,436,640,157,200,626,-,165,"3,545",707,451,894,717,"1,689",784,530,336,814,396
Laem Chabang,244,129,733,400,226,751,"1,197",169,-,623,372,443,241,571,"1,203","1,150","1,815",291,151,229
Los Angeles,"2,768",572,761,527,230,283,"1,042","1,253",214,-,"2,265",506,"2,144",830,"4,421","2,209",812,353,862,"1,188"
New Jersey,693,"3,537","1,588","2,526",164,192,"1,128",547,140,"2,042",-,"1,500",644,"3,035","2,346","2,062",724,"1,102",249,577
Piraeus,573,746,"1,563","1,005",171,210,"2,242",370,146,451,"1,476",-,505,"2,336","1,826","1,601",873,"2,137",200,477
Qingdao,"1,166",254,992,825,201,300,"1,404","1,081",190,"5,068","1,260",878,-,"1,021","2,609",922,"1,157",575,456,45
Rotterdam,975,"1,411","2,869","1,694",286,437,"4,277",678,324,840,"3,880","1,588",913,-,"3,042","3,021","1,457","3,984",352,825
Shanghai,"2,820",709,"2,546","2,907",743,925,"3,195","1,916",744,"5,833","3,564","2,207","2,519","3,487",-,"2,181","3,516","1,534","1,723",978
Shenzhen,"3,209",629,"2,856","3,133",801,"1,071","4,558","2,140",838,"2,849","3,812","2,512",763,"4,229","1,806",-,"3,755","1,385",654,260
Singapore,"1,456",518,"2,896","1,649",905,"2,123","4,646",971,947,"2,725","1,512","1,389","1,314","2,421","4,731","4,759",-,"1,258",360,"1,364"
Tanger Med,500,953,"1,639","1,471",203,310,"2,388",307,210,352,"1,089","1,210",462,"2,061","1,618","1,481","1,038",-,205,417
Tianjin,909,186,753,744,136,202,"1,302",562,154,"1,988",921,589,993,"1,124","2,092",640,"1,043",407,-,43
Xiamen,"1,872",249,"1,278","1,292",229,279,"2,090","1,236",250,"1,530","1,607",988,443,"1,626","1,171","4,391","1,553",608,42,-
