Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,656,162,818,0.02
Cartagena,243,0,243,0.01
Colombo,546,20,566,0.01
Hamburg,383,0,383,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,111,0,111,0.05
Jebel Ali,509,0,509,0.00
Kaohsiung,240,98,338,0.12
Laem Chabang,94,0,94,0.02
Los Angeles,421,0,421,0.00
New Jersey,450,166,616,0.00
Piraeus,292,0,292,0.00
Qingdao,298,58,356,0.01
Rotterdam,530,0,530,0.01
Shanghai,719,"1,509","2,228",0.00
Shenzhen,597,180,776,0.00
Singapore,584,583,"1,168",0.01
Tanger Med,287,99,386,0.00
Tianjin,184,0,184,0.01
Xiamen,282,0,282,0.02
TOTAL,"7,518","2,876","10,395",0.35
