PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,18.86
2,6,10,18.53
3,11,15,18.86
4,16,20,19.17
5,21,25,17.91
6,26,30,18.60
7,31,35,19.12
8,36,40,19.18
9,41,45,19.28
10,46,50,19.08
11,51,55,18.90
12,56,60,19.02
13,61,65,18.95
14,66,70,19.95
15,71,75,18.91
16,76,80,19.22
17,81,85,19.44
18,86,90,18.68
19,91,95,18.98
20,96,100,19.60
21,101,105,20.33
22,106,110,20.62
23,111,115,21.41
24,116,120,21.28
25,121,125,20.59
26,126,130,20.88
27,131,135,20.51
28,136,140,21.56
29,141,145,22.42
30,146,150,22.38
31,151,155,21.83
32,156,160,21.93
33,161,165,22.60
34,166,170,23.38
35,171,175,23.74
36,176,180,24.39
37,181,185,22.96
38,186,190,23.23
39,191,195,23.25
40,196,200,22.43
41,201,205,22.51
42,206,210,22.71
43,211,215,22.90
44,216,220,20.72
45,221,225,19.55
46,226,230,19.98
47,231,235,20.49
48,236,240,20.68
49,241,245,21.37
50,246,250,19.06
51,251,255,19.39
52,256,260,19.32
53,261,265,20.12
54,266,270,20.82
55,271,275,19.89
56,276,280,20.52
57,281,285,20.42
58,286,290,20.21
59,291,295,20.56
60,296,300,20.40
61,301,305,21.28
62,306,310,22.31
63,311,315,22.22
64,316,320,19.67
65,321,325,19.34
66,326,330,19.26
67,331,335,20.78
68,336,340,20.96
69,341,345,20.60
70,346,350,19.08
71,351,355,19.54
72,356,360,19.74
,,OverallMean,20.53
,,PeriodStdDev,1.51
