Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,64,161,12,16,141,84,13,504,213,123,8,206,34,39,62,80,5,32
Cartagena,32,-,63,39,14,18,57,20,14,95,33,38,42,55,115,101,58,32,25,27
Colombo,62,50,-,137,14,18,65,45,17,94,99,92,50,197,84,100,30,101,20,42
Hamburg,87,40,167,-,22,29,224,59,22,129,69,28,81,8,250,257,99,24,40,77
Ho Chi Minh City,15,16,28,43,-,8,54,10,2,83,33,28,16,64,46,47,15,29,9,13
Jakarta,17,22,35,53,4,-,69,12,5,107,46,55,16,83,49,55,6,34,13,14
Jebel Ali,66,44,63,127,18,25,-,49,19,168,93,80,50,190,74,86,53,137,18,44
Kaohsiung,15,27,31,86,12,15,51,-,12,270,88,55,15,96,30,17,34,44,8,8
Laem Chabang,15,17,26,41,4,7,56,10,-,99,33,38,15,59,42,46,10,28,11,12
Los Angeles,280,133,106,114,33,41,163,141,33,-,439,99,220,170,432,288,113,70,101,144
New Jersey,95,47,143,69,18,21,107,73,16,459,-,55,92,78,251,234,72,21,38,77
Piraeus,69,45,111,18,17,18,134,44,15,90,66,-,61,37,176,164,69,19,26,53
Qingdao,28,34,37,92,8,12,69,9,8,439,127,85,-,111,8,8,34,59,17,0
Rotterdam,129,58,248,5,33,46,323,93,37,194,101,25,128,-,354,352,138,29,52,107
Shanghai,14,88,61,287,21,27,112,12,23,484,295,184,20,340,-,14,54,139,34,4
Shenzhen,37,74,54,294,18,25,134,8,21,309,296,194,15,388,37,-,38,118,10,6
Singapore,55,57,29,139,4,9,99,41,7,350,104,96,54,197,70,94,-,96,20,43
Tanger Med,65,32,131,14,22,31,162,39,22,77,21,11,60,15,171,164,90,-,29,51
Tianjin,23,27,30,84,6,9,65,17,7,224,94,57,2,123,11,7,33,42,-,0
Xiamen,29,33,42,138,9,11,93,7,10,171,151,92,9,170,27,12,38,60,1,-
