Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,5,25,24,4,6,42,129,5,108,37,22,33,33,84,28,28,13,12,25
Cartagena,4,-,11,21,2,2,10,2,2,8,57,17,5,29,17,15,9,21,3,3
Colombo,17,9,-,24,12,16,108,11,14,9,26,21,12,34,44,46,62,20,4,13
Hamburg,9,20,24,-,3,3,38,5,3,8,49,20,7,38,29,28,14,33,3,8
Ho Chi Minh City,2,1,6,3,-,5,9,1,5,6,3,3,2,6,10,9,15,3,1,2
Jakarta,3,2,9,4,4,-,13,2,4,7,4,5,2,7,13,12,12,3,1,3
Jebel Ali,14,8,110,27,11,15,-,10,11,16,22,24,11,41,27,27,52,33,3,10
Kaohsiung,30,3,6,7,2,3,8,-,2,74,9,6,11,9,21,10,8,4,10,5
Laem Chabang,2,2,6,3,2,6,11,2,-,6,3,4,2,5,10,10,15,3,1,2
Los Angeles,49,14,13,10,4,6,20,23,4,-,42,9,38,15,81,44,17,6,16,23
New Jersey,10,84,24,49,2,3,23,8,2,33,-,29,9,60,34,29,11,23,4,9
Piraeus,8,13,20,13,2,3,28,5,2,6,20,-,7,30,25,22,11,30,2,6
Qingdao,13,4,11,10,2,3,16,21,2,103,14,10,-,11,30,10,13,7,5,0
Rotterdam,12,32,37,22,4,6,57,9,4,13,76,20,14,-,44,40,18,50,5,11
Shanghai,50,13,32,38,9,12,41,37,10,122,52,29,42,44,-,27,44,19,31,12
Shenzhen,33,12,38,42,11,14,61,27,11,38,56,35,8,56,19,-,51,18,7,3
Singapore,18,10,58,22,7,17,92,13,8,38,23,19,16,31,61,61,-,18,4,17
Tanger Med,7,21,21,18,3,4,32,4,3,5,21,16,7,27,22,21,13,-,3,5
Tianjin,10,3,9,8,2,2,15,6,2,23,11,7,11,12,24,7,12,5,-,0
Xiamen,21,4,14,14,3,3,23,15,3,19,17,11,5,18,13,50,18,7,1,-
