Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,348","1,355",222,305,"2,405","7,045",240,"5,614","2,068","1,191","1,870","1,729","4,622","2,408","1,561",733,"1,131","1,340"
Cartagena,196,-,546,"1,040",108,143,535,123,97,431,"2,739",803,255,"1,494",844,709,470,"1,094",141,170
Colombo,"1,310",529,-,"1,802",617,794,"5,536",895,667,660,"1,604","1,550","1,014","2,668","3,592","3,512","3,000","1,485",314,"1,036"
Hamburg,645,917,"1,910",-,193,266,"2,906",456,198,580,"2,470","1,588",578,"2,825","2,276","2,240","1,040","2,521",275,595
Ho Chi Minh City,231,120,733,399,-,669,"1,121",172,536,558,346,312,255,613,"1,257","1,180","1,813",297,121,242
Jakarta,333,176,"1,049",510,443,-,"1,540",219,466,766,504,643,284,833,"1,614","1,551","1,486",375,184,304
Jebel Ali,"1,177",348,"5,241","1,962",533,736,-,838,524,"1,114","1,081","1,650",824,"3,037","2,160","2,204","2,473","2,458",251,866
Kaohsiung,"2,430",154,436,621,160,203,642,-,168,"3,618",715,438,902,697,"1,689",786,541,332,814,398
Laem Chabang,247,129,733,399,226,749,"1,194",175,-,631,362,441,242,571,"1,251","1,221","1,807",291,158,236
Los Angeles,"2,784",572,780,523,247,311,"1,141","1,257",236,-,"2,283",499,"2,152",823,"4,425","2,493",888,349,865,"1,212"
New Jersey,711,"3,539","1,598","2,529",162,192,"1,128",543,138,"2,042",-,"1,504",669,"3,040","2,312","2,016",732,"1,105",257,602
Piraeus,577,757,"1,575",996,184,209,"2,260",382,155,452,"1,469",-,506,"2,322","1,902","1,675",883,"2,129",203,482
Qingdao,"1,166",254,"1,009",825,203,305,"1,447","1,083",196,"5,146","1,232",878,-,"1,021","2,608",922,"1,183",575,456,45
Rotterdam,983,"1,415","2,901","1,678",308,431,"4,300",716,336,846,"3,879","1,583",926,-,"3,206","3,118","1,464","3,974",355,833
Shanghai,"2,833",716,"2,519","2,892",749,932,"3,224","1,919",750,"5,955","3,490","2,206","2,520","3,476",-,"2,274","3,557","1,533","1,730",978
Shenzhen,"3,208",639,"2,850","3,126",808,"1,077","4,578","2,141",849,"2,914","3,735","2,505",770,"4,200","1,807",-,"3,822","1,382",654,260
Singapore,"1,473",524,"2,909","1,642",903,"2,115","4,654","1,008",946,"2,754","1,494","1,387","1,324","2,414","4,923","4,935",-,"1,248",369,"1,376"
Tanger Med,509,956,"1,648","1,463",217,307,"2,411",313,221,357,"1,088","1,206",467,"2,050","1,688","1,544","1,051",-,206,419
Tianjin,909,186,769,743,138,204,"1,322",562,157,"1,988",903,589,993,"1,124","2,092",636,"1,068",407,-,43
Xiamen,"1,872",249,"1,253","1,292",229,279,"2,090","1,235",249,"1,573","1,580",988,445,"1,626","1,172","4,391","1,555",608,42,-
