Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,663,154,817,0.03
Cartagena,239,0,239,0.01
Colombo,503,21,524,0.00
Hamburg,342,0,342,0.00
Ho Chi Minh City,93,0,93,0.04
Jakarta,110,0,110,0.05
Jebel Ali,471,0,471,0.00
Kaohsiung,228,91,319,0.08
Laem Chabang,93,0,93,0.02
Los Angeles,435,0,435,0.00
New Jersey,444,159,603,0.00
Piraeus,253,0,253,0.00
Qingdao,288,66,354,0.01
Rotterdam,473,0,473,0.00
Shanghai,665,"1,437","2,103",0.00
Shenzhen,542,159,701,0.00
Singapore,535,547,"1,081",0.01
Tanger Med,251,70,322,0.01
Tianjin,169,0,169,0.01
Xiamen,257,0,257,0.02
TOTAL,"7,056","2,704","9,761",0.31
