Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,38,61,160,11,15,138,81,13,491,216,123,8,206,32,38,58,79,5,33
Cartagena,32,-,62,39,14,18,56,20,14,93,33,38,42,54,113,100,57,32,25,26
Colombo,58,54,-,137,14,18,66,38,17,85,100,92,48,197,84,98,30,101,19,42
Hamburg,86,39,169,-,22,30,225,56,23,119,70,29,80,8,250,258,99,24,39,78
Ho Chi Minh City,13,16,28,43,-,8,54,9,2,70,33,27,14,64,40,41,15,28,8,12
Jakarta,17,23,36,51,4,-,70,11,5,98,47,53,16,81,49,56,6,33,12,15
Jebel Ali,64,45,63,128,18,25,-,45,19,154,94,79,48,191,74,86,53,137,18,44
Kaohsiung,16,28,29,85,12,14,50,-,12,270,88,55,14,95,31,18,31,43,9,9
Laem Chabang,13,17,25,41,4,7,56,8,-,83,34,37,13,58,36,40,10,27,10,11
Los Angeles,278,137,104,112,32,41,159,139,32,-,443,97,218,167,429,282,111,69,102,141
New Jersey,94,47,143,68,18,21,105,71,16,430,-,55,91,77,251,233,72,21,38,76
Piraeus,68,50,112,18,17,19,135,42,15,86,77,-,60,38,176,164,70,20,25,53
Qingdao,25,37,37,92,8,12,70,8,9,434,128,85,-,111,8,8,34,59,16,0
Rotterdam,127,57,250,5,33,46,325,90,37,180,102,25,127,-,356,353,138,29,51,109
Shanghai,12,90,61,287,21,25,111,11,23,476,297,183,19,340,-,14,53,139,36,4
Shenzhen,40,76,53,294,19,24,134,9,22,301,297,193,16,388,40,-,37,118,11,6
Singapore,52,59,28,139,4,9,98,33,7,313,105,96,50,198,70,93,-,96,19,44
Tanger Med,65,32,132,14,22,31,164,37,22,72,22,11,59,15,172,165,91,-,28,51
Tianjin,21,28,31,84,6,9,66,14,7,197,95,57,2,124,11,7,32,42,-,0
Xiamen,30,35,41,137,9,10,91,8,10,164,151,91,10,169,28,13,37,60,1,-
