Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,37,66,161,12,16,142,91,13,538,216,124,9,207,35,40,62,80,5,34
Cartagena,33,-,63,39,14,18,58,20,14,97,33,42,42,55,115,102,58,32,25,26
Colombo,66,52,-,137,14,18,66,47,17,99,100,93,55,197,82,97,30,101,22,42
Hamburg,90,40,167,-,22,29,224,60,22,132,69,28,83,8,248,255,98,23,41,77
Ho Chi Minh City,15,16,28,43,-,8,54,11,2,80,32,27,17,64,43,45,15,28,10,13
Jakarta,20,22,35,51,4,-,69,13,5,111,47,54,18,82,50,55,6,34,14,15
Jebel Ali,73,42,64,127,18,25,-,49,19,173,94,79,53,190,73,85,53,137,19,44
Kaohsiung,16,28,33,89,14,15,54,-,13,287,91,58,15,99,32,17,36,45,9,9
Laem Chabang,15,16,25,41,4,7,55,11,-,95,33,38,16,58,39,44,10,28,12,12
Los Angeles,279,134,103,111,32,40,159,143,32,-,445,96,219,167,432,280,110,69,102,144
New Jersey,98,47,145,69,18,21,109,76,16,466,-,60,95,78,254,235,73,21,39,77
Piraeus,71,47,111,18,17,19,134,46,14,94,72,-,64,37,175,162,69,20,27,53
Qingdao,31,33,38,92,9,13,70,10,9,470,125,85,-,112,8,8,35,59,19,0
Rotterdam,135,57,247,4,32,46,323,96,36,197,101,25,134,-,352,350,137,28,54,108
Shanghai,14,86,61,288,21,26,113,15,24,516,296,184,20,341,-,14,54,140,37,4
Shenzhen,41,72,55,296,19,25,138,9,22,338,297,195,16,390,41,-,38,119,11,7
Singapore,60,56,28,139,4,9,98,43,7,367,105,96,59,198,69,92,-,96,23,44
Tanger Med,69,32,131,13,22,31,163,40,22,81,21,11,63,15,170,164,90,-,29,51
Tianjin,27,26,31,84,6,9,66,18,7,235,93,58,2,125,11,7,33,43,-,0
Xiamen,29,33,41,138,9,11,92,8,10,185,147,92,9,171,29,12,38,60,1,-
