Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,272,"1,451","1,376",210,297,"2,335","7,007",231,"5,477","2,006","1,193","1,878","1,751","4,582","2,385","1,709",732,"1,124","1,319"
Cartagena,184,-,549,"1,040",104,132,537,117,94,431,"2,745",788,248,"1,497",805,669,484,"1,095",135,165
Colombo,"1,337",553,-,"1,797",618,792,"5,535",883,665,648,"1,618","1,629","1,036","2,653","3,525","3,529","2,995","1,477",318,"1,052"
Hamburg,660,919,"1,910",-,190,263,"2,902",451,197,570,"2,464","1,572",594,"2,825","2,248","2,267","1,028","2,518",273,603
Ho Chi Minh City,242,131,737,400,-,662,"1,125",173,538,553,354,321,265,617,"1,241","1,189","1,822",299,127,253
Jakarta,335,183,"1,054",507,446,-,"1,542",216,466,754,508,665,288,827,"1,592","1,561","1,468",366,179,307
Jebel Ali,"1,200",369,"5,224","1,961",539,740,-,822,527,"1,111","1,078","1,721",833,"3,026","2,118","2,196","2,473","2,446",253,875
Kaohsiung,"2,474",167,478,634,156,207,641,-,164,"3,525",705,448,900,713,"1,689",784,594,336,810,397
Laem Chabang,259,139,734,402,226,737,"1,200",179,-,624,373,457,250,572,"1,238","1,210","1,813",292,167,243
Los Angeles,"2,797",599,786,521,237,302,"1,104","1,246",229,-,"2,225",497,"2,165",817,"4,459","2,474",890,347,860,"1,185"
New Jersey,690,"3,685","1,617","2,536",153,178,"1,130",524,135,"2,019",-,"1,456",645,"3,057","2,224","1,935",753,"1,109",245,574
Piraeus,596,746,"1,575",988,178,214,"2,249",381,153,451,"1,466",-,515,"2,304","1,875","1,672",874,"2,120",203,489
Qingdao,"1,162",267,998,823,200,304,"1,438","1,074",186,"5,026","1,246",905,-,"1,010","2,656",913,"1,180",573,445,45
Rotterdam,"1,004","1,414","2,887","1,674",300,434,"4,282",716,333,841,"3,880","1,572",953,-,"3,144","3,150","1,457","3,945",355,859
Shanghai,"2,840",763,"2,567","2,888",732,935,"3,232","1,907",732,"5,781","3,542","2,284","2,528","3,476",-,"2,268","3,634","1,533","1,698",977
Shenzhen,"3,239",670,"2,895","3,124",790,"1,077","4,602","2,133",827,"2,842","3,789","2,610",767,"4,190","1,828",-,"3,923","1,381",647,259
Singapore,"1,489",558,"2,902","1,636",904,"2,082","4,658",999,948,"2,716","1,504","1,459","1,344","2,409","4,853","4,909",-,"1,244",372,"1,403"
Tanger Med,529,956,"1,649","1,453",211,310,"2,406",313,217,353,"1,089","1,202",478,"2,048","1,668","1,543","1,042",-,207,429
Tianjin,902,199,765,739,135,203,"1,313",559,154,"1,986",916,619,990,"1,122","2,129",635,"1,062",403,-,42
Xiamen,"1,895",264,"1,268","1,285",226,285,"2,127","1,223",246,"1,524","1,601","1,031",443,"1,623","1,196","4,355","1,567",606,42,-
